subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
submarine landslides,occursIn,tectonically active margin,2,active,WEAK_SUPPORT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,9,4,0.42,"D. Leynaud;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;RichardsonetalBasinResearch2011-online (1)"
turbidite,occursIn,upper slope,2,active,WEAK_SUPPORT,,none,24,5,0.42,"9781565762879_ch03;Bourget,j;D. Leynaud;Giacomo Dalla Valle;9781565762879_ch02"
hemipelagite,hasDescriptor,continuous,2,active,WEAK_SUPPORT,"Wei Li a,⁎, Tiago M. Alves",fuzzy(0.85),6,3,0.3618,"Alves_AAPG_MTDs_14;Bull & Cartwright (2009);Wei Li a,⁎, Tiago M. Alves"
debris flow deposit,hasDescriptor,chaotic,2,active,WEAK_SUPPORT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,exact,1,2,0.2867,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
debris flow deposit,hasDescriptor,discontinuous,2,active,WEAK_SUPPORT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,exact,1,2,0.2867,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
mass transport deposit,hasDescriptor,erosional,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.57),3,2,0.2867,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)
mass transport deposit,hasDescriptor,layered,2,active,WEAK_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.78),2,2,0.2867,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Dos-Reis-et-al-2016-MPG
preserved block,hasDescriptor,layered,2,active,WEAK_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,fuzzy(0.84),2,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
turbidite,occursIn,basin floor,2,active,WEAK_SUPPORT,9781565762879_ch03,exact,23,2,0.2867,9781565762879_ch03;9781565762879_ch02
turbidite,occursIn,deep basin,2,active,WEAK_SUPPORT,,none,3,2,0.2867,"Bourget,j;Elverhoi, A., Breien"
fluid overpressure,triggers,slope instability,2,active,WEAK_SUPPORT,1-s2.0-S0040195109002819-main,exact,1,2,0.2867,1-s2.0-S0191814106000101-main;1-s2.0-S0040195109002819-main
length of the sliding sheet,affects,critical length,2,active,WEAK_SUPPORT,1-s2.0-S0040195109002819-main,exact,1,1,0.1809,1-s2.0-S0040195109002819-main
local overpressure,affects,bore-hole stability during drilling,2,active,WEAK_SUPPORT,1-s2.0-S0264817216304585-main,fuzzy(0.92),0,1,0.1809,1-s2.0-S0264817216304585-main
pore pressure buildup,affects,submarine landslides,2,active,WEAK_SUPPORT,3-s2.0-B9780128130810007047-main,exact,2,1,0.1809,3-s2.0-B9780128130810007047-main
sea floor slope,affects,effect of the surface slope,2,active,WEAK_SUPPORT,1-s2.0-S0040195109002819-main,exact,0,1,0.1809,1-s2.0-S0040195109002819-main
sediment accumulation,affects,strength development,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.76),2,1,0.1809,Submarine_Mass_Movements_on_Continental
sedimentation rates,affects,disequilibrium conditions,2,active,WEAK_SUPPORT,9781565762879_ch02,fuzzy(0.92),0,1,0.1809,9781565762879_ch02
submarine landslides,affects,subsequent flows,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.59),0,1,0.1809,Submarine_Mass_Movements_on_Continental
volume and pressure buildup,affects,excess pore pressure,2,active,WEAK_SUPPORT,3-s2.0-B9780128130810007047-main,exact,1,1,0.1809,3-s2.0-B9780128130810007047-main
environmental loads,causes,sediment or rock to fail,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.1809,Submarine_Mass_Movements_on_Continental
failure of sediment or rock,causes,submarine landslides,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.1809,Submarine_Mass_Movements_on_Continental
gas hydrate disassociation,causes,slope destabilization,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
sea level fall,causes,temperature increase at the bhsz,2,active,WEAK_SUPPORT,3-s2.0-B9780128130810007047-main,exact,1,1,0.1809,3-s2.0-B9780128130810007047-main
sediment or rock failure,causes,submarine landslides,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.1809,Submarine_Mass_Movements_on_Continental
sedimentation rates,causes,disequilibrium conditions,2,active,WEAK_SUPPORT,9781565762879_ch02,fuzzy(0.92),0,1,0.1809,9781565762879_ch02
steepening up-dip,causes,unstable condition,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
unstable condition,causes,slope failure,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
dip of the basal detachment,controls,stability criterion,2,active,WEAK_SUPPORT,1-s2.0-S0040195109002819-main,exact,1,1,0.1809,1-s2.0-S0040195109002819-main
small permeability,controls,build-up of overpressure,2,active,WEAK_SUPPORT,1-s2.0-S0191814106000101-main,exact,0,1,0.1809,1-s2.0-S0191814106000101-main
debris flow deposit,hasDescriptor,hummocky,2,active,WEAK_SUPPORT,9781565762879_ch02,exact,0,1,0.1809,9781565762879_ch02
debris flow deposit,hasDescriptor,low-amplitude,2,active,WEAK_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,0,1,0.1809,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
debris-flow deposit,hasDescriptor,hummocky,2,active,WEAK_SUPPORT,9781565762879_ch02,exact,1,1,0.1809,9781565762879_ch02
displaced block,hasDescriptor,layered,2,active,WEAK_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,fuzzy(0.70),1,1,0.1809,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
facies 4a,hasDescriptor,blocky,2,active,WEAK_SUPPORT,"Wei Li a,⁎, Tiago M. Alves",exact,0,1,0.1809,"Wei Li a,⁎, Tiago M. Alves"
megaslide,hasDescriptor,blocky,2,active,WEAK_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.62),0,1,0.1809,Dos-Reis-et-al-2016-MPG
turbidite,hasDescriptor,layered,2,active,WEAK_SUPPORT,Alves_AAPG_MTDs_14,exact,0,1,0.1809,Alves_AAPG_MTDs_14
debris avalanche,occursIn,continental slope,2,active,WEAK_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,1,1,0.1809,Submarine_Mass_Movements_on_Continental
debris flow deposit,occursIn,passive margin,2,active,WEAK_SUPPORT,9781565762879_ch03,exact,0,1,0.1809,9781565762879_ch03
blocky material,overlies,basal shear surface,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.1809,RichardsonetalBasinResearch2011-online (1)
canyon erosion,triggers,slope destabilization,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.69),0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
seismic trigger,triggers,slope destabilization,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
erosive power,causes,incising lateral ramps into the basal shear surface,1,active,STRONG_SUPPORT,,none,0,0,0.0,
slope failures,triggers,incising lateral ramps into the basal shear surface,1,active,STRONG_SUPPORT,,none,0,0,0.0,
sediment pinch-out,controls,up-dip termination of mass transport deposits,2,active,WEAK_SUPPORT,,none,0,0,0.0,
slope angle,controls,up-dip termination of mass transport deposits,2,active,WEAK_SUPPORT,,none,0,0,0.0,
steepening up-dip,controls,location and style of up-dip termination of the mass transport deposits,2,active,WEAK_SUPPORT,,none,0,0,0.0,
channel levee,hasDescriptor,low-amplitude,2,active,WEAK_SUPPORT,,none,0,0,0.0,
debris flow deposit,occursIn,non-glaciated margin,2,active,WEAK_SUPPORT,,none,0,0,0.0,
