node,type,role,n_triples,as_subject,as_object,n_neighbours,n_papers,n_tier1,n_tier2,relations_used,possible_variants,example_evidence,evidence_paper
instability,Environmental_Control,object only,1,0,1,1,1,0,1,causes,instabilities,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
late period erosion,Process,subject only,1,1,0,1,1,0,1,affects,,"they may be affected by faults, submarine morphology, late period erosion or material variations,",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
length of the sliding sheet,Environmental_Control,subject only,1,1,0,1,1,0,1,controls,,"According to Fig. 5b,c, the ﬂuid overpressure necessary for the slide decreases as the length of the sliding sheet increases.",1-s2.0-S0040195109002819-main
"liquefaction of coarse-grained, cohesionless soils",Process,object only,1,0,1,1,1,1,0,triggers,,"Earthquake-induced excess pore pressure generation can lead to the liquefaction of coarse-grained, cohesionless soils.",D. Leynaud
lower headwall formation,Geological_Object,object only,1,0,1,1,1,0,1,causes,,"The distal deposits of the Sahara Slide are 50–60 ka old (Gee et al., 1999; Georgiopoulou et al., 2010), i.e. they are much older than the age estimated in this study for the upper headwall. A plausible explanation for t","Wei Li a,⁎, Tiago M. Alves"
overpressure development,Process,object only,1,0,1,1,1,0,1,causes,,"A well known example is the rapid sediment loading, e.g. [1 mm year-1 in the Gulf of Mexico (Expedition 308 Scientists 2005), that favours overpressure development in the sediment column as fast burial by fine sediment f","S. Lafuerza, N. Sultan"
pore-fluid overpressure,Environmental_Control,object only,1,0,1,1,1,0,1,causes,fluid overpressure,"In theory, when methane hydrate dissociates this results in an increase of volume and pressure buildup, because 1 m3 of methane hydrate dissociation develops into 164 m3 of methane gas at standard temperature and pressur",3-s2.0-B9780128130810007047-main
potential for mass-transport events,Process,object only,1,0,1,1,1,0,1,causes,,"During relative lowstands of sea level, marginal marine depocenters shift towards the outer shelf in association with the process of forced regression (Posamentier et al., 1992). Rates of sedimentation at the outer shelf",9781565762879_ch02
preserved block,Geological_Object,subject only,1,1,0,1,2,0,1,hasDescriptor,,"An upper unit (150 to 200 m) of parallel discontinuous reflectors still preserves the original layers; however, irregularities of the seafloor suggest a continuous activity of the mass transport processes and associated ",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
ramps and promontories,Geological_Object,object only,1,0,1,1,1,0,1,affects,,A key observation in this work is that ramps and promontories have their long axes oriented parallel to the direction of transport of the interpreted MTDs (Fig. 5). Complete erosion of the paleoseaﬂoor may cause the sect,1-s2.0-S0025322713000571-main
rapid rate of sedimentation,Process,subject only,1,1,0,1,1,0,1,causes,rapid sedimentation,"If the load increases quickly (due, for example, to a rapid rate of sedimentation or to tectonic thickening) and the permeability is small enough, then Tc/Td and diffusion can be neglected, so that Eq. (6) becomes: dP dt",1-s2.0-S0191814106000101-main
rapid sedimentation,Process,subject only,1,1,0,1,1,0,1,causes,rapid rate of sedimentation; rapid sediment accumulation,"If the load increases quickly (due, for example, to a rapid rate of sedimentation or to tectonic thickening) and the permeability is small enough, then Tc/Td and diffusion can be neglected, so that Eq. (6) becomes: dP dt",1-s2.0-S0191814106000101-main
remnant and rafted blocks,Geological_Object,subject only,1,1,0,1,2,1,0,hasDescriptor,,"Unit PM1 is composed of locally continuous, high amplitude and parallel reflections, although continuity over the scale of the survey area is poor.","Ian R. Clark, Joseph A. Cartwright"
remnant block,Geological_Object,subject only,1,1,0,1,2,0,1,hasDescriptor,,These ‘remnant blocks’ are interpreted to represent isolated blocks of material that have not experienced failure.,Bull & Cartwright (2009)
retarded strength development,Process,subject only,1,1,0,1,1,0,1,affects,,"All three of the following processes push the slope toward failure: retarded strength development, increased development of shear stress because of thickness of the s",Submarine_Mass_Movements_on_Continental
rugged upper surface,Geological_Object,subject only,1,1,0,1,1,1,0,overlies,,The compressive domain is comparatively thick; the mass transport deposit upper surface is rugose and elevated with respect to the stable palaeo-lakebed.,RichardsonetalBasinResearch2011-online (1)
sand content increase,Process,subject only,1,1,0,1,1,1,0,causes,,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive.","Elverhoi, A., Breien"
sea floor slope,Environmental_Control,subject only,1,1,0,1,1,1,0,affects,,"According to Fig. 5b, critical length of sliding sheet as a function of basal fluid pressure λb (fluid overpressure ratio on the detachment) for various seaﬂoor slopes (α) and various cohesions of the basal detachment (c",1-s2.0-S0040195109002819-main
sea level fall,Process,subject only,1,1,0,1,1,0,1,causes,,Sea level fall can generate similar effects.,3-s2.0-B9780128130810007047-main
seabed instability,Environmental_Control,object only,1,0,1,1,1,0,1,triggers,,"In shallow water, the largest shear stresses may be induced by storm waves, and these would control seabed stability. Seismic loading would be more important in deeper water. For example, in the north-east Gulf of Alaska",Submarine_Mass_Movements_on_Continental
seaﬂoor,Geological_Object,object only,1,0,1,1,10,0,1,affects,,A key observation in this work is that ramps and promontories have their long axes oriented parallel to the direction of transport of the interpreted MTDs (Fig. 5). Complete erosion of the paleoseaﬂoor may cause the sect,1-s2.0-S0025322713000571-main
sediment approaching liquefaction,Environmental_Control,object only,1,0,1,1,1,1,0,causes,,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
seismic activity,Process,subject only,1,1,0,1,1,1,0,triggers,,"Earthquake-induced excess pore pressure generation can lead to the liquefaction of coarse-grained, cohesionless soils.",D. Leynaud
seismic loading,Process,subject only,1,1,0,1,3,0,1,triggers,,It is speculated that earthquake loading is the final trigger for the initiation of the slides at the end of each glaciation.,3-s2.0-B9780128130810007047-main
seismic trigger,Process,subject only,1,1,0,1,1,0,1,triggers,,"the headwall scarp along the Shah Deniz Anticline lies along fault traces which were active before and potentially during, its emplacement implying a seismic trigger (e.g. Gee et al., 2005).",RichardsonetalBasinResearch2011-online (1)
slide sheet,Geological_Object,subject only,1,1,0,1,1,1,0,hasDescriptor,,These features support the interpretation of this basal unit as slide sheets that have been variably folded and compressed so that they become generally thicker downslope.,Two-scale_gravitational_collapse_in_the_Amazon_Fan
slope instability,Process,object only,1,0,1,1,2,0,1,triggers,,"The fluid pressure required to trigger a slope instability depends on (1) the length of the sliding sheet, (2) the dip of the detachment, (3) the slope of the wedge, and (4) the cohesion of the material used as a décolle",1-s2.0-S0040195109002819-main
slope stability,Environmental_Control,object only,1,0,1,1,2,0,1,affects,,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore-hole stability during drilling ",1-s2.0-S0264817216304585-main
slumping,Process,object only,1,0,1,1,1,0,1,triggers,,Today's evaluations show that an ocean warming leading to a temperature increase at the BHSZ can lead to dissociation of gas hydrates and generation of high excess pore pressure. Sea level fall can generate similar effec,3-s2.0-B9780128130810007047-main
stability criterion,Environmental_Control,object only,1,0,1,1,1,0,1,controls,,"According to Fig. 5c, the dip of the basal detachment seems to Fig. 5. (a) Conﬁguration of the analytical model (see also Appendix A). (b, c) Results of analytical model. (b) Critical length of sliding sheet as a functio",1-s2.0-S0040195109002819-main
stable paleo-lakebed,Geological_Object,object only,1,0,1,1,1,1,0,overlies,,The compressive domain is comparatively thick; the mass transport deposit upper surface is rugose and elevated with respect to the stable palaeo-lakebed.,RichardsonetalBasinResearch2011-online (1)
steepening up-dip,Process,subject only,1,1,0,1,1,0,1,causes,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
steepest portion of the slope,Environmental_Control,subject only,1,1,0,1,1,0,1,controls,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
storm waves,Process,subject only,1,1,0,1,1,0,1,triggers,,"In shallow water, the largest shear stresses may be induced by storm waves, and these would control seabed stability. Seismic loading would be more important in deeper water. For example, in the north-east Gulf of Alaska",Submarine_Mass_Movements_on_Continental
subaqueous slope failure,Process,subject only,1,1,0,1,2,0,1,causes,,This paper uses the terms ‘mass transport deposit’ for the sediment package emplaced during a slope failure and ‘mass transport complex’ where multiple slope failures have coalesced into a larger unit (e.g. Gamberi etal.,RichardsonetalBasinResearch2011-online (1)
tabular,Descriptor,object only,1,0,1,1,1,1,0,hasDescriptor,,AM2 stands as one of the largest siliciclastic units of the AMC. It exhibits a tabular-like geometry (Table 1 and Fig. 9B).,Dos-Reis-et-al-2016-MPG
tectonically active margin,Environmental_Control,object only,1,0,1,1,4,0,1,occursIn,,tectonically active margins are characterized by relatively small failures.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
thin,Descriptor,object only,1,0,1,1,1,0,1,hasDescriptor,,Unit PM2 displays internal thickness variations related to channel levee complexes where thinning of the channel levees occurs away from the channel axis.,"Ian R. Clark, Joseph A. Cartwright"
three structural domains,Geological_Object,object only,1,0,1,1,1,0,1,partOf,,MTC-1 contains three structural domains (Fig. 2a).,RichardsonetalBasinResearch2011-online (1)
translational domain,Geological_Object,subject only,1,1,0,1,1,0,1,partOf,translational sliding,"MTC-1 contains three structural domains (Fig. 2a). Its extensional domain reaches from the headwall scarp to the translational domain, the upper surface lies at a lower elevation than the adjacent lakebed in this domain,",RichardsonetalBasinResearch2011-online (1)
translational sliding,Process,subject only,1,1,0,1,1,1,0,triggers,translational domain,We interpret gravitational spreading over GP I as a direct consequence of translational sliding further downslope due to the lack of support from removed sediment.,"Wei Li a,⁎, Tiago M. Alves"
turbidite system,Geological_Object,subject only,1,1,0,1,5,0,1,occursIn,,"The northern Gulf of Mexico, like the Amazon Fan, is another basic type of continental margin that has equally intermixed amounts of MTD and turbidite systems, where MTDs range from scales of hundreds of kilometers down ",9781565762879_ch03
up to 500m in thickness,Environmental_Control,object only,1,0,1,1,1,0,1,causes,,structures In the compressive domain mass transport deposits reach up to 500m in thickness...,RichardsonetalBasinResearch2011-online (1)
upper slope,Environmental_Control,object only,1,0,1,1,5,0,1,occursIn,,"These sediments could then be flushed occasionally to the deep basin in the form of gravity currents, either triggered by subduction earthquakes (Ambraseys & Melville, 1982) or resuspension mechanisms during mon",
upper surface,Geological_Object,object only,1,0,1,1,2,0,1,partOf,,palaeo-lakebed and mass transport deposit upper surface showing main components of a mass transport deposit.,RichardsonetalBasinResearch2011-online (1)
variable-amplitude,Descriptor,object only,1,0,1,1,1,0,1,hasDescriptor,,"Variable amplitude, semi-continuous to chaotic reflections in packages that have an erosional base and irregular top (b & c).",Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
volume and pressure buildup,Process,subject only,1,1,0,1,1,0,1,causes,,"In theory, when methane hydrate dissociates this results in an increase of volume and pressure buildup, because 1 m3 of methane hydrate dissociation develops into 164 m3 of methane gas at standard temperature and pressur",3-s2.0-B9780128130810007047-main
wave action,Process,subject only,1,1,0,1,1,1,0,affects,,"Wave action has the affect of altering equilibrium conditions in those settings, resulting in potential for mass-transport events to occur.",9781565762879_ch02
wave loading,Process,subject only,1,1,0,1,1,1,0,causes,,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
wave-loading effects,Process,subject only,1,1,0,1,1,1,0,causes,,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
wedge-shaped,Descriptor,object only,1,0,1,1,2,1,0,hasDescriptor,,Extensive MTDs in the Wilkes Land have irregular upper surfaces and commonly lens-shaped or wedge-shaped external geometries (Fig. 18).,9781565762879_ch03
whole wedge failures,Process,object only,1,0,1,1,1,0,1,causes,,"The‘whole wedge’failures occur along growth stra- tal wedges, on fold £anks that steepen up-dip and extend further upslope than the stratal pinch outs (Fig. 5b).",RichardsonetalBasinResearch2011-online (1)
