subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
fluid overpressure,triggers,slope failure,2,active,ACCEPT,1-s2.0-S0040195109002819-main,exact,0,1,0.2584,1-s2.0-S0040195109002819-main
storm waves,triggers,seabed instability,2,active,ACCEPT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.2584,Submarine_Mass_Movements_on_Continental
late period erosion,affects,basal shear surface,2,active,UNCERTAIN,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,fuzzy(0.60),2,1,0.1809,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
retarded strength development,affects,pushing the slope toward failure,2,active,UNCERTAIN,Submarine_Mass_Movements_on_Continental,fuzzy(0.81),0,1,0.1809,Submarine_Mass_Movements_on_Continental
compressive domain,causes,up to 500m in thickness,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),fuzzy(0.90),2,1,0.1809,RichardsonetalBasinResearch2011-online (1)
growth stratal wedge,causes,mass transport deposit,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.1809,RichardsonetalBasinResearch2011-online (1)
growth stratal wedge,causes,whole wedge failures,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,1,1,0.1809,RichardsonetalBasinResearch2011-online (1)
rapid rate of sedimentation,causes,fluid overpressure,2,active,UNCERTAIN,1-s2.0-S0191814106000101-main,exact,0,1,0.1809,1-s2.0-S0191814106000101-main
rapid sediment accumulation,causes,overpressure development,2,active,UNCERTAIN,"S. Lafuerza, N. Sultan",exact,0,1,0.1809,"S. Lafuerza, N. Sultan"
rapid sedimentation,causes,fluid overpressure,2,active,UNCERTAIN,1-s2.0-S0191814106000101-main,exact,0,1,0.1809,1-s2.0-S0191814106000101-main
steepest portion of the slope,controls,area where no scarp exists,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,1,1,0.1809,RichardsonetalBasinResearch2011-online (1)
amapá megaslide complex,hasDescriptor,stratified,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,0,1,0.1809,Dos-Reis-et-al-2016-MPG
channel levee complex,hasDescriptor,thin,2,active,UNCERTAIN,"Ian R. Clark, Joseph A. Cartwright",exact,2,1,0.1809,"Ian R. Clark, Joseph A. Cartwright"
mass transport deposit,hasDescriptor,transparent,2,active,UNCERTAIN,,none,4,1,0.1809,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
siliciclastic unit,hasDescriptor,parallel,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,1,1,0.1809,Dos-Reis-et-al-2016-MPG
submarine landslide,occursIn,deltaic wedge,2,active,UNCERTAIN,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,fuzzy(0.94),1,1,0.1809,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
compressive domain,partOf,mass transport deposit,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,15,1,0.1809,RichardsonetalBasinResearch2011-online (1)
mass transport deposit,partOf,three structural domains,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.1809,RichardsonetalBasinResearch2011-online (1)
erosion,affects,ramps and promontories,2,active,UNCERTAIN,1-s2.0-S0025322713000571-main,exact,5,1,0.1809,1-s2.0-S0025322713000571-main
methane hydrate dissociation,affects,submarine landslide,2,active,UNCERTAIN,3-s2.0-B9780128130810007047-main,exact,0,1,0.1809,3-s2.0-B9780128130810007047-main
erosion of canyon heads,causes,mass transport deposit,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.1809,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
gas hydrate disassociation,causes,slope destabilization,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
gas hydrate dissolution,causes,formation of layer of weakness,2,active,UNCERTAIN,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.1809,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas-hydrate dissociation,causes,catastrophic mass-transport processes,2,active,UNCERTAIN,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,1,1,0.1809,Two-scale_gravitational_collapse_in_the_Amazon_Fan
higher shear stresses,causes,instability,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
migration of depocenters,causes,mass transport deposit,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.1809,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
sea level fall,causes,high excess pore pressure,2,active,UNCERTAIN,3-s2.0-B9780128130810007047-main,exact,1,1,0.1809,3-s2.0-B9780128130810007047-main
steepening up-dip,causes,unstable condition,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
unstable condition,causes,slope failure,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
volume and pressure buildup,causes,pore-fluid overpressure,2,active,UNCERTAIN,3-s2.0-B9780128130810007047-main,exact,0,1,0.1809,3-s2.0-B9780128130810007047-main
cohesion of the basal detachment,controls,stability criterion,2,active,UNCERTAIN,1-s2.0-S0040195109002819-main,exact,0,1,0.1809,1-s2.0-S0040195109002819-main
length of the sliding sheet,controls,critical length,2,active,UNCERTAIN,1-s2.0-S0040195109002819-main,exact,1,1,0.1809,1-s2.0-S0040195109002819-main
debris-flow deposit,hasDescriptor,hummocky,2,active,UNCERTAIN,9781565762879_ch02,exact,1,1,0.1809,9781565762879_ch02
mass transport deposit,hasDescriptor,stratified,2,active,UNCERTAIN,9781565762879_ch03,exact,0,1,0.1809,9781565762879_ch03
megaslide,hasDescriptor,disrupted,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,1,1,0.1809,Dos-Reis-et-al-2016-MPG
slide,hasDescriptor,low-amplitude,2,active,UNCERTAIN,Moscardelli_and_Wood_2008,exact,1,1,0.1809,Moscardelli_and_Wood_2008
debris flow,occursIn,passive margin,2,active,UNCERTAIN,9781565762879_ch03,exact,4,1,0.1809,9781565762879_ch03
coarse-grained turbidites,overlies,mass transport deposit,2,active,UNCERTAIN,1-s2.0-S0264817216304585-main,exact,0,1,0.1809,1-s2.0-S0264817216304585-main
translational domain,partOf,mass transport deposit,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,13,1,0.1809,RichardsonetalBasinResearch2011-online (1)
high excess pore pressure,triggers,slumping,2,active,UNCERTAIN,3-s2.0-B9780128130810007047-main,exact,1,1,0.1809,3-s2.0-B9780128130810007047-main
seismic trigger,triggers,slope destabilization,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.1809,RichardsonetalBasinResearch2011-online (1)
slope failure,triggers,incision of lateral ramps,1,active,NA,,none,0,0,0.0,
slope failure,causes,erosional scour,2,active,NA,,none,0,0,0.0,
channel levee complex,hasDescriptor,low-amplitude,2,active,UNCERTAIN,,none,0,0,0.0,
