source,target,relation,verdict,query,reasoning,passage_used
triggering turbidity current,post deposition of turbidites,impacts,NOT_SUPPORTED,triggering turbidity current post deposition of turbidites,The source text does not contain any information directly linking the triggering of turbidity currents to the post-deposition of turbidites.,"D.J.W. Piper, A. Klaus and L.C. Peterson), 155, 79–108. Piper, D.J.W. and Normark, W.R. (1983) Turbidite depositional patterns and ﬂow characteristics, Navy Submarine Fan, California Borderland. Sedimentology, 30, 681–694. Piper, D.J.W. and Normark, W.R. (2009) Processes that initiate turbidity currents and their inﬂuence on turbidites: a mar- ine geology perspective. J. Sed. Res., 79, 347–362. Pi"
triggering turbidity current at stop,post deposition of turbidites,impacts,NOT_SUPPORTED,triggering turbidity current at stop post deposition of turbidites,The source text does not contain any information directly linking the triggering of turbidity currents at stops with the post-deposition of turbidites.,"D.J.W. Piper, A. Klaus and L.C. Peterson), 155, 79–108. Piper, D.J.W. and Normark, W.R. (1983) Turbidite depositional patterns and ﬂow characteristics, Navy Submarine Fan, California Borderland. Sedimentology, 30, 681–694. Piper, D.J.W. and Normark, W.R. (2009) Processes that initiate turbidity currents and their inﬂuence on turbidites: a mar- ine geology perspective. J. Sed. Res., 79, 347–362. Pi"
triggering cascading mass movements,upward connection to other MTDs,impacts,NOT_SUPPORTED,triggering cascading mass movements upward connection to other MTDs,"The source text does not mention any relationship between triggering cascading mass movements and an upward connection to other MTDs. The text discusses the causes and characteristics of mass wasting events in different types of mass transport complexes (MTCs), but does not link these processes to a",ex- tensive scarps that are tens of kilometres long and hundreds of metres deep de¢ne the updip boundaries of slope-attached MTCs in the shelf-break/upper-slope re- gion. Seismic re£ections associated with the collapsed materials that are contained in the updip parts of slope-at- tached MTCs tend to be discontinuous and chaotic. Previously described geomorphological di¡erences be- tween shelf-atta
existing geomorphology,lateral connection to other MTDs,impacts,NOT_SUPPORTED,existing geomorphology lateral connection to other MTDs,"The source text does not mention any relationship between existing geomorphology and a lateral connection to other MTDs. It discusses the updip and downdip parts of MTCs and their geomorphological relationships, but does not specifically link these to a lateral connection to other MTDs.","were deposited in this region during the Plio-Pleistocene. These di¡er- ences are particularly notorious in the updip (proximal) parts of the MTCs, where initial interpretations have sug- gested that there is a connection between the geomorphol- ogy of individual MTCs and their potential causal mechanisms (Moscardelli et al., 2006). Despite the prolif- eration of papers describing MTC architecture"
triggering cascading mass movements,runout distance,impacts,WEAK_SUPPORT,triggering cascading mass movements runout distance,"The text directly states that the deposit achieved a specific runout distance, which is equated to Experiment 1. This implies a relationship between the triggering of cascading mass movements (implied by the experiments) and the resulting runout distance.","allowed the deposit to achieve a runout distance equal to Experiment 1. Aspect ratio (C), deposit thickness (D), and event duration (E) have more complex relationships. The aspect ratio is greater than 1 for high and medium ﬂow factor experiments, and less than 1 for low ﬂow factor experiments. The thickest deposit and longest duration event correspond to the retrogressive failure of the medium Ff"
initial aspect ratio and top of mass slope angle,initial potential energy of mass,impacts,NOT_SUPPORTED,initial aspect ratio and top of mass slope angle initial potential energy of mass,The source text does not mention the initial aspect ratio and top of mass slope angle in relation to the initial potential energy of the mass.,"a conical shape due to the lower initial potential energy of the granular mass for a given Ri. As shown in Figure 9b, for an initial conical shape the granular mass begins to spread, i.e., Rf/Ri > 1, for a � 0.64. The normalized final extent Rf/Ri decreases with increasing d for a given a. While Rf/Ri decreases continuously for a = 0.9 (20� � d � 30�), it Figure 9. Normalized (a) final height of t"
initial potential energy of mass,runout distance,impacts,WEAK_SUPPORT,initial potential energy of mass runout distance,"The text implies that the initial shape of the released mass, which is related to its initial potential energy, affects the runout distance. A conical shape, which has less initial potential energy compared to other shapes, results in a smaller normalized runout distance.","simply measuring the final normalized height of the deposit resulting from the spreading of a conical granular mass of known initial basal radius. Such a calibration procedure would be much simpler than performing laboratory experiments to measure the limiting angle of stability of a granular cone over a given substratum. However, such a procedure is not appropriate if the formalism proposed by Sa"
topography confinement downwards,triggering turbidity current at stop,impacts,NOT_SUPPORTED,topography confinement downwards triggering turbidity current at stop,The source text does not mention any relationship between topography confinement downwards and triggering turbidity current at stop.,"migrate downdip as it was pushed along by successive evacuated blocks accumulating at the rear. As the lobe was being pushed from behind, radial tension structures developed along the front (Fig. 10D). The ﬁnal topography of the source area of experi- ment 3 reﬂects the retrogressive failure process (Fig. 8A, C). Fracture spacing is 2–3 cm and fracture depth is 1–2 cm. The lobe deposit of Experime"
topography confinement downwards,seafloor shapes and dip variations,related_to,NOT_SUPPORTED,topography confinement downwards seafloor shapes and dip variations,The source text does not directly discuss the relationship between topography confinement downwards and seafloor shapes and dip variations. It mentions the relief and width of the headwall but does not link this to changes in seafloor shapes or dip variations.,"dip of around 4°. The continental slope surrounding MTC_1 consists of low ampli- tude, low-frequency wavy reﬂectors that in plain view correspond with undulations with their crests parallel to the slope (Fig. 7A). We interpret these features as ﬁne grained contourites made up of silty-mud. This interpretation is substantiated by unpublished bore- holes carried out by Eni. MTC_1 has an 11 km wide h"
flow behavior: elastic,detached MTD,impacts,NOT_SUPPORTED,flow behavior: elastic detached MTD,"The source text does not mention any relationship between ""flow behavior: elastic"" and ""detached MTD"". The text discusses the behavior of submarine mass-transport processes and drilling expeditions related to mass-transport deposits, but it does not reference the specific concepts provided.","behaviour of subma- rine mass-transport processes that may or may not include en- trainment has been hindered by a lack of core data across Quaternary mass-transport deposits (MTDs). Previously, MTDs were drilled on the Amazon Fan during Leg 155 of the Ocean Drilling Program (Piper et al. 1997). The Integrated Ocean Drilling Program (IODP) Expedition 308 also drilled several MTDs in the northern G"
detached MTD,volume,related_to,STRONG_SUPPORT,detached MTD volume,"The text directly provides the volume of MTD 6, which is a clear relationship between the subject (detached MTD) and the object (volume).","Seismic characteristics of the basal glide plane and MTD 6 Seismic lines display a lobe-shaped feature for MTD 6, with a transparent to chaotic internal seismic signature and an irregular upper surface (Figs. 3 and 4). These are characteristics of MTDs (e.g. Moscardelli et al. 2006; Sawyer et al. 2009; Strasser et al. 2011; Alves 2015). The volume of MTD 6 was estimated to be ∼2 km3 (Strasser et a"
subsidence/uplift,HS downslope evolution,impacts,STRONG_SUPPORT,subsidence/uplift HS downslope evolution,"The text describes how slope failure features are defined by slide or rotated blocks that detach from fold limbs due to sea-floor structural uplift, which is a form of uplift. This directly links the concept of uplift to the downslope evolution of mass-transport deposits.","the different patterns of displacement of mass-transport deposits, as mapped on the upper–middle Amazon Fan. Adjacent to compressional structures of the SE Compartment, slope failure features are deﬁned by slide or rotated blocks that detach from fold limbs caused by the sea-ﬂoor structural uplift. Downslope mass-transport deposits are dominated by folded and compressed sediment slides forming uni"
subsidence/uplift,basin depocenter position,impacts,WEAK_SUPPORT,subsidence/uplift basin depocenter position,The text indicates that the migration of mass transport deposits basinwards is related to both the progradation of the basin margin and the uplift of the fold tip. This suggests a relationship between subsidence/uplift (implied by the uplift of the fold tip) and the position of the basin depocenter.,"Gener- ally, compressive domains are sampled by our seismic data in older mass transport deposits, and extensional domains in the younger deposits. Along the Shah Deniz anticline, cuspate headwalls migrate basinwards over time, while the centre of the survey is less disrupted over time. Kinematic indicators within the mass transport depos- its show they broadly travelled in two directions: either "
source domain in basin,HS morphology,impacts,NOT_SUPPORTED,source domain in basin HS morphology,"The source text does not mention any specific relationship between the ""source domain in basin"" and ""HS morphology."" The text discusses the source locations of mass transport deposits and their morphology, but it does not establish a direct link or relationship between these two concepts.","transport deposits in the study area. (a) Outlines of the seismic survey and mass transport deposits outlines. Arrows show sediment transport directions interpreted from kinematic indicators. (b) Interpretations regarding basin margin progradation and fold hinge growth, drawn from selected mass transport deposit outlines. r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European A"
flow behavior: elastic,presence of preserved blocks,impacts,NOT_SUPPORTED,flow behavior: elastic presence of preserved blocks,"The source text does not mention ""flow behavior: elastic"" or any reference to ""presence of preserved blocks."" The text discusses flow behavior, particularly focusing on stretching and run-out of clay-rich flows, but does not establish a relationship between flow behavior being elastic and the presen","preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases, the stretching can result in autoacephalation (Parker 2000), producing outrunner blocks and the dev"
flow behavior: elastic,triggering turbidity current,impacts,NOT_SUPPORTED,flow behavior: elastic triggering turbidity current,"The source text does not mention ""elastic"" flow behavior or any triggering mechanism for turbidity currents. It discusses the flow regime, behavior, and characteristics of turbidity currents but does not relate these to an ""elastic"" flow behavior.","flow regime in the lower, dense part of the flow and the upper turbulent turbidity current. Eddies are visible inside the turbidity current Ocean Dynamics (2010) 60:1027–1046 1033 5.3 Low clay content (5%) The low coherency of the 5% clay flows results in break-up, turbulence (Fig. 9) and extensive low-density layer production throughout the flow. The transition between lower dense and dilute flow"
lithology in transported mass,triggering turbidity current,impacts,NOT_SUPPORTED,lithology in transported mass triggering turbidity current,The source text does not mention any specific relationship between the lithology in transported mass and the triggering of turbidity currents.,"Abyssal Plain) to one main event during the past 60 kyr (Herodotus Basin). For the Agadir Canyon system (Ercilla et al., 2003), one large turbidity current feeds the Agadir Basin every 30 kyr (Weaver et al., 2000). When compared with submarine slides on the formerly glaciated mid- Norwegian margin where one mega-slide occurred approximately every 100 kyr (Solheim et al., 2005a), the frequency of m"
flow direction,presence of preserved blocks,impacts,NOT_SUPPORTED,flow direction presence of preserved blocks,"The source text does not mention ""flow direction"" or any concept related to it, nor does it discuss the ""presence of preserved blocks"" in relation to flow direction. The text focuses on extensional fracturing, blocks, and their relationship to stress directions, but does not establish a direct link ","shown by Huvenne et al. (2002), from a MTC in the Porcupine basin, offshore SW Ireland, to be related to extensional fracturing and the break up of material into blocks. The presence of relatively small extensional faults which are both parallel and perpendicular to presumed principal stress direction is likely to indicate the presence of relatively consolidated material (Prior et al., 1984), and "
flow velocity and energy,preserved blocks size,impacts,NOT_SUPPORTED,flow velocity and energy preserved blocks size,The source text does not mention flow velocity and energy or the size of preserved blocks. There is no information that links these two concepts.,"comprising about 60,000 km3 of remobilized sediments. This megaslide was named Pará-Maranhão Megalisde since a great part of it extends to the neighbor Pará-Maranhão basin (Figs. 1 and 2). Downslope from the headwall scarp, slided blocks extend over 12,500 km2, having a thickness around 1,000 m. These blocks are faulted (normal listric faults) and rotated Fig. 2 Mass transport deposits and megasli"
initial potential energy of mass,flow velocity and energy,impacts,NOT_SUPPORTED,initial potential energy of mass flow velocity and energy,"The source text does not mention flow velocity or energy in relation to the initial potential energy of a mass. It discusses the relationship between the initial potential energy and the deposit area, acceleration due to gravity, and the scaling relation between potential energy and area, but does n","same deposit area for terrestrial and extrater- restrial events, the potential energy does depend on g. This makes it possible to report (Figure 12) numerical results, in terms of the deposit area and initial potential energy, with the observations of Dade and Huppert [1998]. Acceleration due to gravity was taken to be g = 9.81ms�2, g = 3.7ms�2, g = 1.6ms�2 for the Earth, Mars and the Moon, respec"
grains heterogeneity in flowing mass,preserved blocks size,related_to,NOT_SUPPORTED,grains heterogeneity in flowing mass preserved blocks size,"The source text does not mention grains heterogeneity in the flowing mass or preserved blocks size. It discusses factors affecting the run-out of clay-rich flows and the resulting changes in the debris flow composition, but does not relate these to the size of preserved blocks or the heterogeneity o","preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases, the stretching can result in autoacephalation (Parker 2000), producing outrunner blocks and the dev"
flow behavior: elastic,chaotic facies distribution,impacts,WEAK_SUPPORT,flow behavior: elastic chaotic facies distribution,"The text implies that the chaotic facies distribution is related to the flow behavior, specifically suggesting that the material within these facies is partially disaggregated, which can be associated with elastic flow behavior.","European Association of Geoscientists & Engineers and International Association of Sedimentologists 67 MTCs as markers of fold belt evolution 13652117, 2018, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/bre.12208 by Bibliothèque de Sorbonne Université, Wiley Online Library on [13/03/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wil"
grains heterogeneity in flowing mass,chaotic facies distribution,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass chaotic facies distribution,"The source text does not explicitly or implicitly mention any relationship between ""grains heterogeneity in flowing mass"" and ""chaotic facies distribution.""","most likely because of the presence of structurally deformed intervals and lithified debris-flow clasts in their interior (see Strasser et al., 2012) (Figure 11B, C). As a result of these heterogeneities, CDE val- ues for MTD 5 plot as a scattered distribution of points, with energy values reaching a maximum value of approximately 0.5. This distribution results from the presence of relatively high"
grains heterogeneity in flowing mass,transparent facies distribution,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass transparent facies distribution,"The source text does not mention ""transparent facies distribution"" or any concept similar to it. It discusses structural deformations, lithified debris-flow clasts, and reflection amplitudes but does not relate these to a ""transparent facies distribution.""","most likely because of the presence of structurally deformed intervals and lithified debris-flow clasts in their interior (see Strasser et al., 2012) (Figure 11B, C). As a result of these heterogeneities, CDE val- ues for MTD 5 plot as a scattered distribution of points, with energy values reaching a maximum value of approximately 0.5. This distribution results from the presence of relatively high"
compaction during burial,transparent facies distribution,impacts,NOT_SUPPORTED,compaction during burial transparent facies distribution,"The source text does not mention either ""compaction during burial"" or ""transparent facies distribution."" It discusses topics such as abnormal pressures, overpressures, sedimentary wedges, and salt tectonics, but does not establish any relationship between compaction during burial and transparent fac","or compaction during burial or horizontal compression of tectonic origin. They also result from an increase in the volume of pore ﬂuid resulting from thermal dilation, mineralogical transformation (smectite to illite) and hydrocarbon generation (for example, production of thermogenic gas at depths of over 5 km) (Barker, 1990; Cobbold et al., 2004). As soon as the generating mechanism stops, abnorm"
posterior fluid migrations,transparent facies distribution,impacts,NOT_SUPPORTED,posterior fluid migrations transparent facies distribution,The source text does not mention posterior fluid migrations or any transparent facies distribution. The text discusses seismic facies types related to megaslides but does not link these to posterior fluid migrations.,"4); AM5 (Amap�a Megaslide 5) and AM6 (Amap�a Megaslide 6). AM1 to AM6 are marked by seismically well-deﬁned basal d�ecollement surfaces (Fig. 8), whereas their disturbed masses show seismic evidence of distinct degrees of displacements and disrup- tions, as indicated by a set of variable acoustic seismic facies types, such as: internal transparent to chaotic facies; or a combination of chaotic fac"
posterior fluid migrations,chaotic facies distribution,impacts,NOT_SUPPORTED,posterior fluid migrations chaotic facies distribution,The source text does not mention posterior fluid migrations or discuss their relationship with chaotic facies distribution.,"basal d�ecollement surfaces that shift upward or downward in the stratigraphy, depicting staircase morphologies (Fig. 8). AM3, the smallest megaslide in area (Table 1 and Fig. 9B), is dominated by chaotic facies and is substantially thicker close to its upslope limit, where traces of previous stratiﬁcation were preserved (Fig. 10B). AM4, the largest siliciclastic megaslide of the AMC (Table 1), A."
evaporite deformation & mud volcanism,faulty facies distribution,impacts,NOT_SUPPORTED,evaporite deformation & mud volcanism faulty facies distribution,"The source text does not mention either ""evaporite deformation & mud volcanism"" or ""faulty facies distribution."" It discusses seismic facies, megaslides, and stratified layers but does not establish any relationship between evaporite deformation/mud volcanism and faulty facies distribution.","seismic facies, disruption patterns and related deformations, as well as (c) their overall distribution and esti- mates of remobilized volumes. In spite of the similarities between the two MTCs, each of them has its distinct characteristics with respect to each MTC. In a general way, PMMC deposits are well individualized and present relatively more homogeneous patterns of internal seismic facies t"
post deposition regional deformation,faulty facies distribution,impacts,WEAK_SUPPORT,post deposition regional deformation faulty facies distribution,"The text does not explicitly state a relationship between post-deposition regional deformation and faulty facies distribution. However, it implies that the levee distribution is controlled by surrounding folds and strike-slip structures, which are forms of post-deposition regional deformation. The l","The outline of the levee extent of Channel C and the channel axis are indicated. Points A–G are described in section 3.3.2. C: Seismic line illustrating conﬁnement of Channel C, note the levee onlap onto the pre-channel fold induced topography. of post-channel deformation (mainly folding) causing perturba- tions to the channel depth proﬁle. The levees of Channel C are strongly developed (thick and"
frontal compression,ridged facies distribution,impacts,NOT_SUPPORTED,frontal compression ridged facies distribution,"The source text does not mention either ""frontal compression"" or ""ridged facies distribution."" The text discusses sediment waves, canyons, and piggyback basins but does not establish any relationship between frontal compression and ridged facies distribution.","al. � 2010 The Authors. Journal compilation � 2010 International Association of Sedimentologists, Sedimentology, 58, 376–406 13653091, 2011, 2, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/j.1365-3091.2010.01168.x by Bibliothèque de Sorbonne Université, Wiley Online Library on [16/04/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley "
topography confinement downwards,frontal compression,impacts,STRONG_SUPPORT,topography confinement downwards frontal compression,"The text describes how frontally confined MTDs exhibit a toe region characterized by the compression of failed strata against defined buttresses, which directly relates to the concept of topography confinement downwards leading to frontal compression.","ridges, steps, and remnant (but aligned) ridges of strata close to basal shear planes of MTDs are important features of high D (see Alves, 2013). Toe regions show the largest variability in terms of absolute values of D because of the existence of inherited topography that will potentially con- trol the degree of internal deformation of either frontally emergent or frontally confined MTDs Figure 1"
flow direction,ridged facies distribution,impacts,NOT_SUPPORTED,flow direction ridged facies distribution,"The source text does not mention ""ridged facies distribution"" or any similar term that could be inferred to be related to ""flow direction."" The text discusses flow direction in relation to fault and fold systems but does not link it to a ""ridged facies distribution.""","European Association of Geoscientists & Engineers and International Association of Sedimentologists 67 MTCs as markers of fold belt evolution 13652117, 2018, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/bre.12208 by Bibliothèque de Sorbonne Université, Wiley Online Library on [13/03/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wil"
flow behavior: elastic,ridged facies distribution,impacts,NOT_SUPPORTED,flow behavior: elastic ridged facies distribution,"The source text does not mention ""flow behavior: elastic"" or ""ridged facies distribution."" The text discusses different facies and their characteristics but does not establish a relationship between flow behavior and ridged facies distribution.","upper headwall showing headwall scraps, sidewall scarps and glide planes (GP I, GP II and GP III). (c) Central part of the upper headwall showing multiple sediment blocks and erosive channels. 113 W. Li et al. / Marine Geology 393 (2017) 109–123 4.2.1. Facies 1: smooth, medium backscattering seaﬂoor Facies 1 is characterised by homogenous, medium backscatter values (Figs. 6 and 8a). Facies 1 is lo"
seafloor shapes and dip variations,thrust fault angle increase to toe,impacts,WEAK_SUPPORT,seafloor shapes and dip variations thrust fault angle increase to toe,"The text does not directly state a relationship between seafloor shapes and dip variations and thrust fault angle increase to toe. However, it implies that the increase in fault angle towards the toe might be related to the downslope increase in the basal shear surface tilt, which could be indirectl","sheet and propagate forwards, although strata is deformed and thickened internally at the head of the sheet. In section view along an idealised wedge, thrust faults show a de- crease in angle and throw towards the toe, whereas strata are thicker elevated and more contorted towards the head; exactly the opposite trends of what is observed in the cross-section of Fig. 8a. Some of our observations ma"
post deposition regional deformation,thrust fault angle increase to toe,impacts,WEAK_SUPPORT,post deposition regional deformation thrust fault angle increase to toe,"The text suggests that the increase in fault angle towards the toe of the thrust sheet is related to the downslope increase in the basal shear surface tilt, which is a form of post-deposition regional deformation.","sheet and propagate forwards, although strata is deformed and thickened internally at the head of the sheet. In section view along an idealised wedge, thrust faults show a de- crease in angle and throw towards the toe, whereas strata are thicker elevated and more contorted towards the head; exactly the opposite trends of what is observed in the cross-section of Fig. 8a. Some of our observations ma"
lithology of underlying material in source zone,thrust fault angle increase to toe,impacts,WEAK_SUPPORT,lithology of underlying material in source zone thrust fault angle increase to toe,The text suggests that the increase in fault angle towards the toe might be related to the increase in basal shear surface tilt downslope. This implies a relationship between the thrust fault angle increase to the toe and the underlying material's geometry.,"sheet and propagate forwards, although strata is deformed and thickened internally at the head of the sheet. In section view along an idealised wedge, thrust faults show a de- crease in angle and throw towards the toe, whereas strata are thicker elevated and more contorted towards the head; exactly the opposite trends of what is observed in the cross-section of Fig. 8a. Some of our observations ma"
remobilization,upward connection to other MTDs,impacts,NOT_SUPPORTED,remobilization upward connection to other MTDs,"The source text does not mention any relationship between remobilization and an upward connection to other MTDs. The text discusses remobilization in relation to C, D, and E values, but does not connect it to any upward connections or linkages to other MTDs.","lead to the complete stop of the MTD (Alves, 2013). Therefore, in toe regions of MTDs, failed sediment will potentially show low C, D, and E when reflecting a high degree of disaggre- gation and very moderate amplitude contrasts in strata. One significant control on C and E is the nature of the source of material remobilized during sea-floor failure; fine-grained material with large plasticity wil"
remobilization,lateral connection to other MTDs,impacts,NOT_SUPPORTED,remobilization lateral connection to other MTDs,The source text discusses the relationship between MTD_0.1 and MTD_0.2 in terms of MTD_0.2 cutting through MTD_0.1 and incorporating underlying sediments. It does not mention any concept of remobilization or a lateral connection to other MTDs.,"(Fig. 4A). In the southern area, MTD_0.1 is cut by MTD_0.2, a shelf-attached, channelized debris-ﬂow that has involved more internal shelf sectors than those of the previous MTD (Fig. 9A). MTD_0.2 has an erosional character at its base including its lateral ramps, implying that it had a higher erosional behavior than the previous MTD. A similar pattern of erosion focused at the base of the slope h"
flow behavior: elastic,surface area,impacts,NOT_SUPPORTED,flow behavior: elastic surface area,"The source text does not mention ""flow behavior: elastic"" or any reference to ""surface area."" The text discusses avalanche dynamics, flow propagation, and aspect ratio in granular materials, but does not establish a relationship between flow behavior being elastic and surface area.","Lajeunesse et al. [2004] and Lube et al. [2004]. Nevertheless, these simulations provide some insight into the flow dynamics. First a relatively deep avalanche occurs along an inclined surface of rupture of about 60�, then the motion propagates within the granular mass leading to a relatively stable avalanche along the surface of slope 30� with a shallow horizontal flow in the front part. The exis"
initial aspect ratio and top of mass slope angle,seafloor effective friction angle,impacts,NOT_SUPPORTED,initial aspect ratio and top of mass slope angle seafloor effective friction angle,The source text does not mention any relationship between the initial aspect ratio and top of mass slope angle and the seafloor effective friction angle. It discusses the effective friction angle in the context of a numerical cone but does not link it to the initial aspect ratio or the top of mass s,"de Sorbonne Université, Wiley Online Library on [12/03/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License minimal model for the simulation of the spreading experi- ments, a constant friction approximation is retained here, and the effective friction "
grains heterogeneity in flowing mass,seafloor effective friction angle,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass seafloor effective friction angle,"The source text does not mention grains heterogeneity in flowing mass or seafloor effective friction angle. It discusses various geological processes such as creep, slides, slumps, and flows, along with their behaviors and types, but does not establish any relationship between the specified concepts","16), slide (Fig. 10C), slump (Fig. 4), and flow (Fig. 33C) are discussed in greater detail below. (Redrawn and adapted from Nemec, 1991, and Martinsen, 1994). Increasing flow velocity cm/yr m/s CREEP SLIDE SLUMP FLOW Continuum Process Creep Slides Slumps Flows (plastic behavior) Flows (fluidal behavior) Falls Grain flow Liquefied flow Fluidized flow Turbidity current Debris falls Rock falls CREEP "
sedimentation rate and type,lithology of underlying material in source zone,impacts,NOT_SUPPORTED,sedimentation rate and type lithology of underlying material in source zone,The source text does not mention sedimentation rate and type or the lithology of the underlying material in the source zone in relation to each other.,"the location and properties of the underlying sand layer, a situation that so far has received little attention in studies of marine flows. Our results also show that shear-induced mixing, located by the initial layering, is an important process in the flow transformation from cohesive slumps to mud flows and that this may occur over short distances (<4 km) without involving disintegration into bl"
sedimentation rate and type,lithology in transported mass,impacts,NOT_SUPPORTED,sedimentation rate and type lithology in transported mass,"The source text does not mention sedimentation rate and type or lithology in transported mass directly. It discusses the integration of outcrop and 3D-seismic data for understanding mass-transport processes and their deposits, but does not provide specific information linking sedimentation rate and ","2007). Integration of outcrop and 3D- seismic based analyses has yielded significant insights with regard to understanding mass-transport processes and the tem- poral and spatial distribution of associated deposits (Damuth and Embly, 1981; Mutti, 1985; Martinsen et al., 2000; Martinsen et al., 2003; Posamentier and Kolla, 2003). The objective of this paper is to discuss and review process sediment"
lithology of underlying material in source zone,lithology in transported mass,impacts,STRONG_SUPPORT,lithology of underlying material in source zone lithology in transported mass,"The text directly states that the lithology of the mass-transport deposit reflects the lithology of the staging area, implying a clear relationship between the two concepts.","events commonly originate in the mid to upper slope (Fig. 19). These events can cause volumes of sediments as large as hundreds of cubic kilometers to be set in motion. At the other end of the spectrum, small failures of channel–levee walls can be in the order of just a few cubic meters (Figs. 20, 21). Ultimately, the lithologic character of a mass- transport deposit reflects the lithology present"
lithology of underlying material in source zone,lithology of underlying material downslope,related_to,NOT_SUPPORTED,lithology of underlying material in source zone lithology of underlying material downslope,"The source text does not directly compare or discuss the lithology of the underlying material in the source zone with the lithology of the underlying material downslope. It mentions provenance and transporting distances as key factors affecting the internal architecture and potential of MTDs, but it","tion to the headwall (proximal erosive), transla- tional (intermediate), and toe (distal) parts of MTDs. This is an important character, as strata within specific zones of MTDs can show similar deformation styles, basal erosional features, and boundary features regardless of their size or litho- logical nature (Varnes, 1978; Frey-Martinez et al., 2006; Bull et al., 2008). However, the provenance ("
lithology in transported mass,lithology distribution in MTD,impacts,NOT_SUPPORTED,lithology in transported mass lithology distribution in MTD,"The source text does not directly discuss the relationship between the lithology in transported mass and the lithology distribution in Mass-Transport Deposits (MTDs). It mentions lithologies in the context of disaggregation and internal structural fabric, but does not explicitly link these to the di","the wide distribution of D in this MTD. 816 Mass-Transport Deposits and Seismic Texture downslope movement (e.g., Mosher et al., 2004), tend to present higher E, but variable D. Internal features will preferentially follow the direction of prevalent fabric or secondary directions of frac- tures associated with major faults (e.g., Odling et al., 1999). Such a change in the character of remnant stra"
erosion of underlying material,lithology distribution in MTD,impacts,WEAK_SUPPORT,erosion of underlying material lithology distribution in MTD,"The text suggests that MTD_0.2 incorporates underlying sediments during its downslope movement, implying a relationship between the erosion of underlying material (MTD_0.1) and the lithology distribution in MTD_0.2.","(Fig. 4A). In the southern area, MTD_0.1 is cut by MTD_0.2, a shelf-attached, channelized debris-ﬂow that has involved more internal shelf sectors than those of the previous MTD (Fig. 9A). MTD_0.2 has an erosional character at its base including its lateral ramps, implying that it had a higher erosional behavior than the previous MTD. A similar pattern of erosion focused at the base of the slope h"
topography confinement downwards,presence of 'tongues' at toe,impacts,NOT_SUPPORTED,topography confinement downwards presence of 'tongues' at toe,The source text does not mention 'tongues' at the toe or any form of topography confinement downwards.,"ridges, steps, and remnant (but aligned) ridges of strata close to basal shear planes of MTDs are important features of high D (see Alves, 2013). Toe regions show the largest variability in terms of absolute values of D because of the existence of inherited topography that will potentially con- trol the degree of internal deformation of either frontally emergent or frontally confined MTDs Figure 1"
terminal dispersion,presence of 'tongues' at toe,related_to,NOT_SUPPORTED,terminal dispersion presence of 'tongues' at toe,The source text describes the formation of a sediment tongue and its characteristics but does not explicitly or implicitly link this concept to the presence of 'tongues' at the toe of terminal dispersion.,"ent stratigraphic levels within MTC_2 (Fig. 8) reveal two main phases of this unit’s evolution. Phase1 (Fig. 8a) is as- sociatedwith initial erosional processes that generated the basal surface of MTC_2. During this phase vertical and lat- eral erosionwas the dominant process, several megascours were generated around individual mudvolcanoes (Fig.8a), and successive episodes of incision were respon"
grains heterogeneity in flowing mass,presence of 'tongues' at toe,impacts,NOT_SUPPORTED,grains heterogeneity in flowing mass presence of 'tongues' at toe,"The source text does not mention grains heterogeneity in flowing mass or the presence of 'tongues' at the toe. It discusses various geological processes such as creep, slides, slumps, and flows but does not provide any information about the heterogeneity of grains or the presence of tongues at the t","16), slide (Fig. 10C), slump (Fig. 4), and flow (Fig. 33C) are discussed in greater detail below. (Redrawn and adapted from Nemec, 1991, and Martinsen, 1994). Increasing flow velocity cm/yr m/s CREEP SLIDE SLUMP FLOW Continuum Process Creep Slides Slumps Flows (plastic behavior) Flows (fluidal behavior) Falls Grain flow Liquefied flow Fluidized flow Turbidity current Debris falls Rock falls CREEP "
