source,target,relation,directed,n_cit,category,n_docs_src,n_docs_tgt,evidence
flow behavior: elastic,scours,impacts,True,2,A_direct,27,10,"[{""doc"": ""Giacomo Dalla Valle"", ""tier"": ""same_chunk"", ""snip"": ""with some conﬁdence that the headwall region of MTD_0.1 has reached the outer shelf region (Figs. 4A, 5B). At the transition between the lower slope and the basin ﬂoor, the base of MTD_0.1 cuts about 30 m into the underlying stratigraphy, forming an erosional edge (Fig. 4C). In the distal sector, th""}, {""doc"": ""Giacomo Dalla Valle"", ""tier"": ""same_chunk"", ""snip"": ""both upper slope, ﬁne-grained contouritic deposits and, presumably more lithiﬁed, outer shelf sands, as its headwall reached the shelf-break region (Fig. 9B). The MTD_1.2a accumulation zone is characterized by a series of kinematic features such as pressure ridges and scours (Fig. 7B). Erosional sco""}, {""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""random fabric, clast size variable, matrix variable. Rip ups, rafts, inverse grading and flow structures possible. Normal size grading, sharp basal contacts, gradational upper contacts. Seismically Recognizable Features (Moscardelli et al., 2006; this work) Continuous blocks without apparent interna""}]"
seafloor effective friction angle,scours,impacts,True,2,B_weak_cross_doc,9,10,[]
lithology of underlying material downslope,BS strong amplitude,impacts,True,0,A_or_B_same_chunk,11,30,"[{""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""failed material moves over the basal shear surface, or indeed, a combination of these two factors may be critical (Strachan, 2002a; Frey Martinez et al., 2005). Strachan (2002a) postulated that pre-existing weaknesses in the basal shear surface, caused by original deposition of the sediments, may be""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""often observed from near the headwall regions of MTCs (Solheim et al., 2005; Fig. 7A, C), or where translation of material across the basal shear surface is limited (Frey Martinez et al., 2005). In this context, the basal shear surface propagates downwards to link with a deeper weak layer. The basal""}]"
fluid overpressure on basal surface,BS strong amplitude,impacts,True,3,A_direct,30,30,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_sentence"", ""snip"": ""To apply the CDE method, the top and basal surfaces of MTDs should be mapped in detail.""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_sentence"", ""snip"": ""• Directionality (D) is directly related to the ex- istence of a syn- or postdepositional fabric as, for instance, on basal shear surfaces of MTDs.""}]"
post deposition of turbidites,US with turbidites on top,impacts,True,0,A_direct,16,34,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Stages (MIS) 1 to 5 during the past 130,000 years, show that the oldest ponded MTD 1 sheet occurs immediately above the Y8 ash layer, which is ~ 84,000 years old (Expedition 308 Scientists, 2005; Mallarino et al., 2005). At this time of relatively high sea level (MIS 5), when MTD 1 was deposited, th""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""1 and note that numbering scheme of this study is opposite that of the Brazos Basin 4 studies, where MTD 1 is the oldest; FIG. 10.—GLORIA side-scan sonar image of the northern Gulf of Mexico that shows: 1) hummocky nonchannelized MTD sheets covering the northeastern (Eastern surficial MTD) and south""}]"
triggering turbidity current,post deposition of turbidites,impacts,True,0,A_direct,19,16,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""AND PANTIN, H.M., 1986, Self-accelerating tur- bidity currents: Journal of Fluid Mechanics, v. 171, p. 145–181. PASSCHIER, S., O’BRIEN, P.E., DAMUTH, J.E., JANUSCZAK, N., HANDWERGER, D.D., AND WHITEHEAD, J.M., 2003, Pliocene–Pleistocene glaciomarine sedimentation in eastern Prydz Bay and development""}, {""doc"": ""Bourget,j"", ""tier"": ""same_sentence"", ""snip"": ""INTRODUCTION Early conceptual models of turbidity current deposition and submarine turbidite system devel- opment essentially envisaged the development of channel-leve´e systems associated with uncon- ﬁned, fan-shaped distal sediment bodies.""}]"
triggering turbidity current at stop,post deposition of turbidites,impacts,True,0,A_direct,20,16,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""AND PANTIN, H.M., 1986, Self-accelerating tur- bidity currents: Journal of Fluid Mechanics, v. 171, p. 145–181. PASSCHIER, S., O’BRIEN, P.E., DAMUTH, J.E., JANUSCZAK, N., HANDWERGER, D.D., AND WHITEHEAD, J.M., 2003, Pliocene–Pleistocene glaciomarine sedimentation in eastern Prydz Bay and development""}, {""doc"": ""Bourget,j"", ""tier"": ""same_sentence"", ""snip"": ""INTRODUCTION Early conceptual models of turbidity current deposition and submarine turbidite system devel- opment essentially envisaged the development of channel-leve´e systems associated with uncon- ﬁned, fan-shaped distal sediment bodies.""}]"
triggering cascading mass movements,upward connection to other MTDs,impacts,True,0,A_direct,28,27,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""by a variety of turbidite systems, with only minor basin-floor MTDs. Then we provide three examples that exhibit mixed MTD and turbidite systems, such as the Mediterranean continental margin off the Ebro River in Spain, which has some segments dominated by MTDs and others dominated by turbidite syst""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents. MTDs include movement and emplacement by brittle deformation (slides), plastic deformation (slumps), and plastic or""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""with large D or moderate CDE values. INTRODUCTION Landslide deposits reflect gravitational movements of near- surface strata in which the internal cohesion of failed material is maintained (Nemec, 1990; Hampton et al., 1996; Locat, 2001; Everhøi et al., 2005; Lee et al., 2006; Sultan et al., 2007). ""}]"
existing geomorphology,lateral connection to other MTDs,impacts,True,0,A_direct,25,31,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""from Romero, 2009 Other anticline axis projected from Romero, 2009 Southern downdip anticline SFZ and updip thrusts projected from Romero, 2009 SFZ and updip thrusts projected from Romero, 2009 Uncertain interpretation Pre-existing CLC ? Pre-C1MTCs in southern syncline Pre C1 MTCs in northern syncli""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""both en echelon tensile failures and through-going strike-slip faults. Considering the inﬂuence of rheology on structural development, this division of structural style could be used to differentiate areas of contrasting rheology. Alternatively, the differing structural styles may be a consequence o""}, {""doc"": ""Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport"", ""tier"": ""same_sentence"", ""snip"": ""MTDs are characterized by apparent geomorphology and sedimentary structures.""}]"
triggering cascading mass movements,runout distance,impacts,True,1,A_or_B_same_chunk,28,30,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents. MTDs include movement and emplacement by brittle deformation (slides), plastic deformation (slumps), and plastic or""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Gullies erode into the upper slope. Outer shelf is cut by normal faults that parallel the shelf edge, and a graben formed. b) Large blocks detached from the upper slope, initiating breaching of the shelf–slope break. c) Continued mass movement resulted in headward and lateral canyon excavation of th""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""with large D or moderate CDE values. INTRODUCTION Landslide deposits reflect gravitational movements of near- surface strata in which the internal cohesion of failed material is maintained (Nemec, 1990; Hampton et al., 1996; Locat, 2001; Everhøi et al., 2005; Lee et al., 2006; Sultan et al., 2007). ""}]"
initial aspect ratio and top of mass slope angle,initial potential energy of mass,impacts,True,0,A_direct,34,28,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Sur submarine slide, Monterey fan, central California: Sedimentology, v. 35, p. 629–647. NORMARK, W.R., AND REID, J.A., 2003, Extensive deposits on the Pacific Plate from late Pleistocene North American glacial lake outbursts: Journal of Geology, v. 111, p. 617–637. NORMARK, W.R., MEYER, A.H., CREME""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""AND DROZ, L., 1995, Late quaternary turbidity current activity: the Var deep-sea fan case study (Northwestern Mediterranean) (abstract): Interna- tional Association of Sedimentologists, 16th Regional Meeting of Sedimentology—5ème Congrès Français de Sédimentologie-ASF. 24–26 Avril 1995, Aix-Les-Bain""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""on Deep-Sea Drilling Program (DSDP), ODP, and IODP data. It then continues by presenting the mathematical and geophysical concepts behind the new CDE method. In the data analysis section, we test the CDE method in three case studies from southeast Japan (Nankai Trough) and southeast Brazil (Espírito""}]"
initial potential energy of mass,runout distance,impacts,True,1,A_direct,28,30,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""tion to the headwall (proximal erosive), transla- tional (intermediate), and toe (distal) parts of MTDs. This is an important character, as strata within specific zones of MTDs can show similar deformation styles, basal erosional features, and boundary features regardless of their size or litho- log""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases,""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""that the head of the initial 1929 Grand Banks landslide may have been located in the area of the quake epicentre, at a distance of 100 km from the first cable break (see Fig. 16b). In response to the retrogressive failure, debris flows were subsequently mobi- lised at gradually shallower water depth""}]"
topography confinement downwards,triggering turbidity current at stop,impacts,True,0,A_direct,21,20,"[{""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""58, 376–406 doi: 10.1111/j.1365-3091.2010.01168.x 376 � 2010 The Authors. Journal compilation � 2010 International Association of Sedimentologists dynamics and the resulting sediment distribution. Channel formation in the abyssal plain and trench-ﬁll characteristics depend on the theoretical ‘equili""}, {""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""large failures of the shelf edge and/or upper slope ﬁne-grained sediments, occasionally reach the centre of the Oman basin during the Late Holocene highstand conditions. The resulting FA-3 beds are mostly composed of thick Te muds, and the silt/sand bases (Tc-d) are typically millimetre to decimetre""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_sentence"", ""snip"": ""A rough topography leading to a varying flow velocity may have been important for the disintegration and transformation of the debris flows into a turbidity current (according to the terminology of Piper et al.""}]"
topography confinement downwards,seafloor shapes and dip variations,related_to,False,0,A_or_B_same_chunk,21,21,"[{""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""large failures of the shelf edge and/or upper slope ﬁne-grained sediments, occasionally reach the centre of the Oman basin during the Late Holocene highstand conditions. The resulting FA-3 beds are mostly composed of thick Te muds, and the silt/sand bases (Tc-d) are typically millimetre to decimetre""}, {""doc"": ""1-s2.0-S0025322712000412-main"", ""tier"": ""same_chunk"", ""snip"": ""C D back wall back wall A Exp. 4 Ff = 1.91 Exp. 3 Ff = 3.05 Exp. 1 Ff = 6.23 D, exp. 4 C, exp. 3 B, exp. 1 exp. 2 exp. 5 C B original thickness D Fig. 8. Headwall area morphology is diagnostic of initial ﬂow factor. A high ﬂow factor (Experiment 1) results in a smooth source area (green proﬁle, phot""}, {""doc"": ""1-s2.0-S0025322712000412-main"", ""tier"": ""same_chunk"", ""snip"": ""1–4 (Experiments 5 and 6 could not be mapped with the laser). B–E. Deposit surface maps (dip maps which accentuate local variations in the surface). Cross section locations indicated by dashed line. Experiment 1 (high Ff) is thin and broad with maximum thickness located in the central portion of the""}]"
flow behavior: elastic,detached MTD,impacts,True,1,A_direct,27,31,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 59 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS mixed contourite and debris-flow deposition, that take place during later glacial deposition.""}]"
detached MTD,volume,related_to,False,1,A_direct,31,31,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""e-mail: dtwichell@usgs.gov ABSTRACT: The volume and interplay of mass-transport (MTD) and turbidite-system deposits varies on different continental margins depending on local and external controls such as active-margin or passive-margin tectonic setting and climatic and/or sea-level change.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 41 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS submarine-fan system was fed by river drainage systems across the Bering shelf.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 41 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS submarine-fan system was fed by river drainage systems across the Bering shelf.""}]"
subsidence/uplift,HS downslope evolution,impacts,True,3,B_distributed,20,5,[]
subsidence/uplift,basin depocenter position,impacts,True,1,A_or_B_same_chunk,20,10,"[{""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""the western domain, where piggyback basins are connected to the canyons, and seem to act as preferred turbidity current pathways (Fig. 7). In the ‘closed’ piggyback at the mouth of Canyon 3 (Fig. 8), a 200 km2 lobe of very low backscatter (black) acoustic facies is observed downstream of the knickpo""}, {""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""plunge pool formation. If signiﬁcant trapping of coarse-grained sediments occur within the plunge pools, they could potentially form substantial reservoirs in hydro- carbon-bearing subsurface successions. However, this possibility would depend on their longer term evolution and preservation (includi""}, {""doc"": ""1-s2.0-S0264817216304585-main"", ""tier"": ""same_chunk"", ""snip"": ""article.) Q. Sun et al. / Marine and Petroleum Geology 81 (2017) 17e32 19 4) What is the importance of the interpreted MTDs, and associated free gas, to future geohazard assessments in the Pearl River Mouth Basin and other continental margins? 2. Geological setting The South China Sea is the largest""}]"
source domain in basin,HS morphology,impacts,True,1,A_or_B_same_chunk,22,5,"[{""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""et al., 2006). In addition, a step-like, or ‘stair- case’ pattern may be observed in dip-section (e.g. Kvalstad et al., 2005; Lastras et al., 2006), which is often taken to be indicative of a retrogressive or ‘back-stepping’ pattern of failure development (Kvalstad et al., 2005; Solheim et al., 2005""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""of an array of MTCs (labelled) which can be separated into 3 separate events, labelled 1–3. (B) Seismic section through headwall scarp of a Levant Basin MTC (location shown in A). (C) Seismic section from the headwall domain of the Storegga Slide showing Storegga Slide deposits and older MTC deposit""}, {""doc"": ""Dos-Reis-et-al-2016-MPG"", ""tier"": ""same_chunk"", ""snip"": ""of the Early Pliocene and the end of the Early Pleistocene, that is to say, between Horizons D (c. 3.8 Ma) and H (c. 1.8 Ma). The younger PM3 and PM4 took place during the mid to late Pleistocene, as indicated by the age of the stratigraphic horizon H (c. 1.8 Ma) which lies just below AM3 (Figs. 8 a""}]"
flow behavior: elastic,presence of preserved blocks,impacts,True,4,A_direct,27,30,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""to changes in the compressibility of shales, an observation that led Flodin et al. (2003) to suggest that correlations between geophysical and petrophysical data must consider the ratio Vp 2/Vs 2 as the main parameter inducing variations in the acoustic impedance of strata. This latter ratio is rela""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""image volume. In the specific case of MTDs, their internal variability can be specifically quantified by three distinct textural parameters: contrast, directional- ity, and energy. Contrast (C) indicates the relative degree of heterogeneity and disaggregation of strata, parameters that are useful to""}]"
flow behavior: elastic,triggering turbidity current,impacts,True,1,A_direct,27,19,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Graded sand turbidites are like those typically generated from canyon-head processes (e.g., ignitive turbidity currents of storms, hyperpycnal flows from floods) (Fig.""}]"
lithology in transported mass,triggering turbidity current,impacts,True,2,A_direct,16,19,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents. MTDs include movement and emplacement by brittle deformation (slides), plastic deformation (slumps), and plastic or""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS channel walls, because such clay clasts of deep-sea hemipelagic clay are fine-grained clays (> 8 phi), have low organic carbon contents (~ 0.5%), and contain authigenic pyrite. In contrast, clay clasts within chaotic silt have coarser grain s""}]"
flow direction,presence of preserved blocks,impacts,True,1,A_direct,35,30,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""to changes in the compressibility of shales, an observation that led Flodin et al. (2003) to suggest that correlations between geophysical and petrophysical data must consider the ratio Vp 2/Vs 2 as the main parameter inducing variations in the acoustic impedance of strata. This latter ratio is rela""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""image volume. In the specific case of MTDs, their internal variability can be specifically quantified by three distinct textural parameters: contrast, directional- ity, and energy. Contrast (C) indicates the relative degree of heterogeneity and disaggregation of strata, parameters that are useful to""}]"
flow velocity and energy,preserved blocks size,impacts,True,1,A_or_B_same_chunk,10,22,"[{""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases,""}]"
initial potential energy of mass,flow velocity and energy,impacts,True,0,A_direct,28,10,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""Assessing the internal character, reservoir potential, and seal competence of mass-transport deposits using seismic texture: A geophysical and petrophysical approach Tiago M. Alves, Kuncho Kurtev, Gregory F. Moore, and Michael Strasser ABSTRACT Three-dimensional (3-D) seismic volumes from southeast ""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""to changes in the compressibility of shales, an observation that led Flodin et al. (2003) to suggest that correlations between geophysical and petrophysical data must consider the ratio Vp 2/Vs 2 as the main parameter inducing variations in the acoustic impedance of strata. This latter ratio is rela""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""image volume. In the specific case of MTDs, their internal variability can be specifically quantified by three distinct textural parameters: contrast, directional- ity, and energy. Contrast (C) indicates the relative degree of heterogeneity and disaggregation of strata, parameters that are useful to""}]"
grains heterogeneity in flowing mass,preserved blocks size,related_to,False,1,A_or_B_same_chunk,17,22,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""(above and facing page).—A) Map of Amazon Deep-Sea Fan showing surficial distributary channels of the Upper Levee Complex and the two large MTD sheets (Western MTD and Eastern MTD) on the fan surface (map is redrawn from Damuth et al., 1988; Amazon Channel from Flood et al., 1991). Heavy dashed line""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases,""}, {""doc"": ""J. S. Laberg"", ""tier"": ""same_chunk"", ""snip"": ""f). The porosity of MTD 6 follows the general trend of lithological subunit 1a and decreases with depth, somewhat more pronounced at the lowermost level. Some scattering occur, including the MTD 6 interval. The shear strength however displays more scatter with- in the MTD 6 interval although roughly""}]"
flow behavior: elastic,chaotic facies distribution,impacts,True,0,A_direct,27,24,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""5, 6) contain the chaotic deposits of debris flows (Goldfinger et al., 2000; Nelson et al., 2000).""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""These individual MTD beds have a variety of lithologies that vary from clay-clast debris flows to chaotic silt beds.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""These individual MTD beds have a variety of lithologies that vary from clay-clast debris flows to chaotic silt beds in mini-basins (Fig.""}]"
grains heterogeneity in flowing mass,chaotic facies distribution,impacts,True,0,A_or_B_same_chunk,17,24,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""cm—see Fig. 14; Nelson et al., 1992). Twichell et al. (1996) and Twichell et al. (2009) showed that the eastern MTD sheet blocked the youngest channel of the inner and middle FIG. 14.—Lithologies, ages, x-ray radiographs, and grain sizes of thin interbedded MTD chaotic silt and graded turbidite sand""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""individual MTD beds have a variety of lithologies that vary from clay-clast debris flows to chaotic silt beds in mini-basins (Fig. 14; Nelson et al., 1992). In the distal depositional lobes of Mississippi Fan, however, the chaotic silts are dominant, consist of soft clay clasts in a silt matrix, and""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""(above and facing page).—A) Map of Amazon Deep-Sea Fan showing surficial distributary channels of the Upper Levee Complex and the two large MTD sheets (Western MTD and Eastern MTD) on the fan surface (map is redrawn from Damuth et al., 1988; Amazon Channel from Flood et al., 1991). Heavy dashed line""}]"
grains heterogeneity in flowing mass,transparent facies distribution,impacts,True,0,A_or_B_same_chunk,17,25,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""burial histories, which are commonly used to evaluate the timing of hydrocarbon generation and expulsion. It can also inﬂuence the prediction of the characteristics and distribution of the sedimentary pack- ages downdip of the MTCs. Furthermore, the presence of coalescing MTCs can introduce lateral ""}, {""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""Université, Wiley Online Library on [16/04/2025]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License a′ Fig. 9. Three-dimensional bathymetry of the plunge po""}, {""doc"": ""RichardsonetalBasinResearch2011-online (1)"", ""tier"": ""same_chunk"", ""snip"": ""Jackson, J. & Walker, R. (2004) Late Cenozoic re- organization of the Arabia^Eurasia collision and the compari- son of short-term and long-term deformation rates. Tectonics, 23,TC2008, doi: 10.1029/2003TC001530. Allen, M.B., Jones, S., Ismail-Zadeh, A., Simmons, M. & Anderson, L. (2002) Onset of sub""}]"
compaction during burial,transparent facies distribution,impacts,True,0,A_or_B_same_chunk,11,25,"[{""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""MTCs have occurred relatively recently, and so their morphological expression on the seaﬂoor, including the headwall scarp, has not yet been inﬁlled (Prior et al., 1984; Masson et al., 1993; Bøe et al., 2000; Laberg et al., 2000; Laberg and Vorren, 2000; Canals et al., 2004; Haﬂidason et al., 2004; ""}, {""doc"": ""1-s2.0-S0025322713000571-main"", ""tier"": ""same_chunk"", ""snip"": ""continental margins where the headwall scarp is imperceptible and, as in the case of the study area, salt structures are prominent and well-developed (Figs. 4 and 12). However, this work highlights the existence of quad- rants on the margins of rising diapirs in which the MTDs' lithology and interna""}]"
posterior fluid migrations,transparent facies distribution,impacts,True,0,A_or_B_same_chunk,3,25,"[{""doc"": ""1-s2.0-S0264817216304585-main"", ""tier"": ""same_chunk"", ""snip"": ""Research paper Free gas accumulations in basal shear zones of mass-transport deposits (Pearl River Mouth Basin, South China Sea): An important geohazard on continental slope basins Qiliang Sun a, b, *, Tiago Alves c, Xinong Xie a, b, Jiaxiong He d, **, Wei Li e, Xianglong Ni f a Key Laboratory of Te""}]"
