source,target,relation,token_category,verdict,reasoning,passage_used
initial potential energy of mass,flow velocity and energy,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any concepts related to the initial potential energy of mass or flow velocity and energy.,"Assessing the internal character, reservoir potential, and seal competence of mass-transport deposits using seismic texture: A geophysical and petrophysical approach Tiago M. Alves, Kuncho Kurtev, Gregory F. Moore, and Michael Strasser ABSTRACT Three-dimensional (3-D) seismic volumes from southeast "
grains heterogeneity in flowing mass,preserved blocks size,related_to,A_or_B_same_chunk,NOT_SUPPORTED,The provided source text does not mention grains heterogeneity in flowing mass or preserved blocks size. It describes a map of the Amazon Deep-Sea Fan with specific features like surficial distributary channels and MTD sheets.,"(above and facing page).—A) Map of Amazon Deep-Sea Fan showing surficial distributary channels of the Upper Levee Complex and the two large MTD sheets (Western MTD and Eastern MTD) on the fan surface (map is redrawn from Damuth et al., 1988; Amazon Channel from Flood et al., 1991). Heavy dashed line"
flow behavior: elastic,chaotic facies distribution,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""chaotic facies distribution."" It discusses chaotic deposits of debris flows, but without reference to the specified concepts.","5, 6) contain the chaotic deposits of debris flows (Goldfinger et al., 2000; Nelson et al., 2000)."
grains heterogeneity in flowing mass,chaotic facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention grains heterogeneity in flowing mass or chaotic facies distribution directly. It discusses lithologies, ages, x-ray radiographs, and grain sizes of thin interbedded MTD chaotic silt and graded turbidite sand, but does not establish a relationship between these concep","cm—see Fig. 14; Nelson et al., 1992). Twichell et al. (1996) and Twichell et al. (2009) showed that the eastern MTD sheet blocked the youngest channel of the inner and middle FIG. 14.—Lithologies, ages, x-ray radiographs, and grain sizes of thin interbedded MTD chaotic silt and graded turbidite sand"
grains heterogeneity in flowing mass,transparent facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention grains heterogeneity in flowing mass or transparent facies distribution. It discusses burial histories, hydrocarbon generation, and sedimentary packages, but does not establish any connection between the provided concepts.","burial histories, which are commonly used to evaluate the timing of hydrocarbon generation and expulsion. It can also inﬂuence the prediction of the characteristics and distribution of the sedimentary pack- ages downdip of the MTCs. Furthermore, the presence of coalescing MTCs can introduce lateral "
compaction during burial,transparent facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""compaction during burial"" or ""transparent facies distribution."" It discusses the morphological expression of MTCs (mass transport complexes) on the seafloor and their recent occurrence.","MTCs have occurred relatively recently, and so their morphological expression on the seaﬂoor, including the headwall scarp, has not yet been inﬁlled (Prior et al., 1984; Masson et al., 1993; Bøe et al., 2000; Laberg et al., 2000; Laberg and Vorren, 2000; Canals et al., 2004; Haﬂidason et al., 2004; "
posterior fluid migrations,transparent facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention either ""posterior fluid migrations"" or ""transparent facies distribution."" There is no information given that links these two geological concepts.","Research paper Free gas accumulations in basal shear zones of mass-transport deposits (Pearl River Mouth Basin, South China Sea): An important geohazard on continental slope basins Qiliang Sun a, b, *, Tiago Alves c, Xinong Xie a, b, Jiaxiong He d, **, Wei Li e, Xianglong Ni f a Key Laboratory of Te"
posterior fluid migrations,chaotic facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention either ""posterior fluid migrations"" or ""chaotic facies distribution."" Therefore, there is no evidence to suggest any relationship between these two concepts.","Research paper Free gas accumulations in basal shear zones of mass-transport deposits (Pearl River Mouth Basin, South China Sea): An important geohazard on continental slope basins Qiliang Sun a, b, *, Tiago Alves c, Xinong Xie a, b, Jiaxiong He d, **, Wei Li e, Xianglong Ni f a Key Laboratory of Te"
evaporite deformation & mud volcanism,faulty facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either evaporite deformation, mud volcanism, or faulty facies distribution. It discusses the occurrence of certain species and mentions faults but does not establish any relationship between the specified geological concepts.","(consistent) occurrence, E.h. Emiliania huxleyi, P.l. Pseudoemiliania lacunosa, R.a. Reticulofenestra asanoi, G.sp.(l, m) Gephyrocapsa species (large, medium). The synthetic seismogram is from Alves et al. (2014) Landslides 14 & (2017) 851 faults observed are likely associated with loading imposed o"
post deposition regional deformation,faulty facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention post deposition regional deformation or faulty facies distribution. It discusses seismic reflections and facies types but does not establish any relationship between the specified geological concepts.,section between the early Oligocene WL-U3 to early Miocene WL-U5 seismic reflections; and B) dominantly turbidite channel–levee seismic facies mixed with MTD seismic facies in a strike section in the later deposits above the WL-5 seismic reflection. The white box at the southern edge of the Antarcti
frontal compression,ridged facies distribution,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""frontal compression"" or ""ridged facies distribution."" There is no information provided that links these two geological concepts.","it onlaps and erodes an underlying external levee. It is truncated by S2 (Fig. 6a). Structural deformation hinders the identiﬁ- cation of its eastern depositional limit, seismic facies or transport direction. MTC S2 overlies an erosion surface that incises S1 and is erosionally overlain by S3 (Fig. "
topography confinement downwards,frontal compression,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""topography confinement downwards"" or ""frontal compression."" It discusses ridges, strata, and variability in D values near basal shear planes but does not establish any relationship between the provided concepts.","ridges, steps, and remnant (but aligned) ridges of strata close to basal shear planes of MTDs are important features of high D (see Alves, 2013). Toe regions show the largest variability in terms of absolute values of D because of the existence of inherited topography that will potentially con- trol"
flow direction,ridged facies distribution,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow direction"" or ""ridged facies distribution."" It discusses the characteristics of MTD sheets in relation to their thickness, run-out distances, and location on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
flow behavior: elastic,ridged facies distribution,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""ridged facies distribution."" It discusses the characteristics of MTD sheets in relation to submarine slope failures and their run-out distances on the abyssal seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
seafloor shapes and dip variations,thrust fault angle increase to toe,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention seafloor shapes and dip variations or thrust fault angle increase to toe. It discusses the use of 75 MTCs as markers of fold belt evolution.,"International Association of Sedimentologists 75 MTCs as markers of fold belt evolution 13652117, 2018, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/bre.12208 by Bibliothèque de Sorbonne Université, Wiley Online Library on [13/03/2025]. See the Terms and Conditions (https://online"
post deposition regional deformation,thrust fault angle increase to toe,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention post deposition regional deformation or thrust fault angle increase to toe. It discusses the correlation of potential with bright spots and the use of the CDE method for characterizing MTDs.,"potential. They can also correlate with the presence of fluids (bright spots), further presenting the CDE method as a valid approach to characterize MTDs in terms of their reservoir po- tential and seal competence. By using this same method for successive intervals, one can estimate the degree of in"
lithology of underlying material in source zone,thrust fault angle increase to toe,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""lithology of underlying material in source zone"" or ""thrust fault angle increase to toe."" The text discusses erosion surfaces and their traceability between different markers (MTC S6 and MTC C1), but does not relate these concepts to the specified geologi","the southern and central regions (Figs 5f and 8d); although an erosion surface can locally be observed between MTC S6 and MTC C1 (Fig. 5), it is not consistently traceable, meaning it is possible that S6 is part of C1 (Fig. 6a). To the SW, S6 thins and pinches-out against relief developed along the "
remobilization,upward connection to other MTDs,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""remobilization"" or ""upward connection to other MTDs"". There is no information provided that links these two concepts.","for steeply steeping strata flanking diapir B (Figures 13B, 14B, 16A). In this CDE plot, we discriminate be- tween strata with distinct degrees of disaggregation alternating and intact blocks with remnant sub- horizontal strata. Based on the plot in Figure 17 and on data from the two other case stud"
remobilization,lateral connection to other MTDs,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""remobilization"" or ""lateral connection to other MTDs"". There is no information provided that links these two concepts.","for steeply steeping strata flanking diapir B (Figures 13B, 14B, 16A). In this CDE plot, we discriminate be- tween strata with distinct degrees of disaggregation alternating and intact blocks with remnant sub- horizontal strata. Based on the plot in Figure 17 and on data from the two other case stud"
flow behavior: elastic,surface area,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""surface area"". There is no information provided that links these two concepts.","by a variety of turbidite systems, with only minor basin-floor MTDs. Then we provide three examples that exhibit mixed MTD and turbidite systems, such as the Mediterranean continental margin off the Ebro River in Spain, which has some segments dominated by MTDs and others dominated by turbidite syst"
initial aspect ratio and top of mass slope angle,seafloor effective friction angle,impacts,A_direct,NOT_SUPPORTED,The source text does not mention either the initial aspect ratio and top of mass slope angle or the seafloor effective friction angle. It discusses the first-order deformation pattern of a gravitationally destabilizing slope and how it is affected by slope material properties and topography.,"and with homogeneous reduction in cohesion with time has been chosen to deﬁne the ﬁrst-order deformation pattern of the gravitationally destabilizing slope. As expected, this process is affected by both the slope material properties and the topography. For the topography of the La Clapière slope, th"
grains heterogeneity in flowing mass,seafloor effective friction angle,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention ""grains heterogeneity in flowing mass"" or ""seafloor effective friction angle."" It discusses depth-averaged horizontal flow velocity, free upper surface, mass density, and acceleration due to gravity in the context of modeling hydrostatic imbalance with averaged frict","(u, v) denotes the depth-averaged horizontal flow velocity in the horizontal-vertical Cartesian reference frame (x, y, z), h is the free upper surface, r is the mass density, and g is acceleration due to gravity. These equations model the hydrostatic imbalance in presence of an averaged friction for"
sedimentation rate and type,lithology of underlying material in source zone,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention sedimentation rate and type, lithology of underlying material in source zone, or any relationship between these concepts.","Marine and Petroleum Geology 26 (2009) 1132–1151 a continuum, whereby one type may evolve into or trigger another (Martinsen, 1994). Many of the submarine slope failure events imaged by the data available for this study are highly complex, and are likely to have involved a number of processes, possi"
sedimentation rate and type,lithology in transported mass,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention sedimentation rate and type, lithology in transported mass, or any relationship between these concepts.","Marine and Petroleum Geology 26 (2009) 1132–1151 a continuum, whereby one type may evolve into or trigger another (Martinsen, 1994). Many of the submarine slope failure events imaged by the data available for this study are highly complex, and are likely to have involved a number of processes, possi"
lithology of underlying material in source zone,lithology in transported mass,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided text does not mention the lithology of the underlying material in the source zone or the lithology in the transported mass. It discusses a continuum where one type may evolve into or trigger another, and mentions complex submarine slope failure events but does not relate these to the sp","Marine and Petroleum Geology 26 (2009) 1132–1151 a continuum, whereby one type may evolve into or trigger another (Martinsen, 1994). Many of the submarine slope failure events imaged by the data available for this study are highly complex, and are likely to have involved a number of processes, possi"
lithology of underlying material in source zone,lithology of underlying material downslope,related_to,A_direct,NOT_SUPPORTED,The text does not directly state or imply a relationship between the lithology of the underlying material in the source zone and the lithology of the underlying material downslope. It only mentions the transport direction of the material.,"Combined with local slope direction from stratigraphic interpretation of the underlying sedimentary units, the trend indicates that the material within the pair of shears was being transported to the NNW."
lithology in transported mass,lithology distribution in MTD,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""lithology in transported mass"" or ""lithology distribution in MTD"". It discusses seismic profiles, abyssal seafloor, and channel-levee complexes but does not establish any relationship between the provided geological concepts.","length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve"
erosion of underlying material,lithology distribution in MTD,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention erosion of underlying material or lithology distribution in MTD (which is not defined in the provided context). There is no information linking these two concepts.,"evo- lution. However, there is still a paucity of detailed, three-dimensional analyses that link the timing, location and character of MTCs with the growth of individual structures within developing deep-water fold-and-thrust belts. Furthermore, the evolution and chronostrati- graphic signiﬁcance of"
topography confinement downwards,presence of 'tongues' at toe,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""topography confinement downwards"" or ""presence of 'tongues' at toe."" It discusses variability in D values due to inherited topography affecting the internal deformation of MTDs.",Toe regions show the largest variability in terms of absolute values of D because of the existence of inherited topography that will potentially con- trol the degree of internal deformation of either frontally emergent or frontally confined MTDs Figure 17.
terminal dispersion,presence of 'tongues' at toe,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention either ""terminal dispersion"" or ""presence of 'tongues' at toe."" It discusses high headwall scar, ridge-and-trough morphology, and gravitational spreading but does not establish any relationship between the provided concepts.","high headwall scar and its accumulation zone is mainly made up by coher- ent blocks, ridge-and-trough morphology (Fig. 8B). Ridge and trough morphology is commonly ascribed to gravitational spreading, indicat- ing localized compressional stresses acting during the ﬂow, possibly reﬂecting increased b"
grains heterogeneity in flowing mass,presence of 'tongues' at toe,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention grains heterogeneity in flowing mass or the presence of 'tongues' at the toe. It discusses the proximal, intermediate, and distal parts of MTDs and their characteristics but does not relate these to the specified concepts.","tion to the headwall (proximal erosive), transla- tional (intermediate), and toe (distal) parts of MTDs. This is an important character, as strata within specific zones of MTDs can show similar deformation styles, basal erosional features, and boundary features regardless of their size or litho- log"
grains heterogeneity in flowing mass,lithology distribution in MTD,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention grains heterogeneity in flowing mass or lithology distribution in MTD. It discusses the lithologies, ages, x-ray radiographs, and grain sizes of thin interbedded MTD chaotic silt and graded turbidite sand, but does not establish a direct relationship between these co","cm—see Fig. 14; Nelson et al., 1992). Twichell et al. (1996) and Twichell et al. (2009) showed that the eastern MTD sheet blocked the youngest channel of the inner and middle FIG. 14.—Lithologies, ages, x-ray radiographs, and grain sizes of thin interbedded MTD chaotic silt and graded turbidite sand"
existing geomorphology,posterior fluid migrations,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
existing geomorphology,pore pressure increase by fluid migration,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""existing geomorphology"" or ""pore pressure increase by fluid migration."" It discusses sandy contourites, their susceptibility to liquefaction during earthquakes, and the lack of observed large-scale liquefaction.","(Laberg et al., 2003), and they provide potential slip planes (Forsberg and Locat, 2005; Kvalstad et al., 2005a). Sandy contourites are even less cohesive and are susceptible to liquefy under dynamic loading (earthquakes). To date, no liquefaction potential on a large-scale has been observed in the "
existing geomorphology,pore pressure increase by compression,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any relationship between existing geomorphology and pore pressure increase by compression.,"(Laberg et al., 2003), and they provide potential slip planes (Forsberg and Locat, 2005; Kvalstad et al., 2005a). Sandy contourites are even less cohesive and are susceptible to liquefy under dynamic loading (earthquakes). To date, no liquefaction potential on a large-scale has been observed in the "
pore pressure increase by compression,fluid overpressure,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention pore pressure increase by compression or fluid overpressure. It discusses sandy contourites and their susceptibility to liquefaction under dynamic loading, but does not establish any relationship between the provided concepts.","(Laberg et al., 2003), and they provide potential slip planes (Forsberg and Locat, 2005; Kvalstad et al., 2005a). Sandy contourites are even less cohesive and are susceptible to liquefy under dynamic loading (earthquakes). To date, no liquefaction potential on a large-scale has been observed in the "
pore pressure increase by fluid migration,fluid overpressure,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention pore pressure increase by fluid migration or fluid overpressure. It discusses Tiago’s research interests related to quantitative seismic interpretation for assessing reservoir compartmentalization, seal competence, and fluid migration in sedimentary basins.","Tiago’s research interests include quantitative seismic interpretation to assess reservoir compartmentalization, seal competence, and fluid migration in sedimentary basins."
permeability increase,pore pressure increase by fluid migration,related_to,A_direct,NOT_SUPPORTED,The source text discusses how rapid overloading of fine-grained sediments can generate excess pore pressure based on permeability and water content. It does not directly state or imply that an increase in permeability leads to an increase in pore pressure by fluid migration.,Rapid overloading of ﬁne-grained sediments could generate excess pore pressure depending on permeability and water content in the sediment.
existing geomorphology,initial aspect ratio and top of mass slope angle,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""existing geomorphology"" or ""initial aspect ratio and top of mass slope angle."" It focuses on models to understand the failure and pre-failure behavior of large rock slope movement in a specific case study.","Gunzburger, Y., 2006. Models available to understand failure and pre-failure behaviour of large rock slope movement: the case of La Clapière, Southern Alps, France. In: Evans, Stephen G., Mugnozza, Gabriele Scarascia, Strom, Alexander, Hermanns, Reginald L. (Eds.), Landslides from Massive Rock Slope"
existing geomorphology,topography confinement downwards,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""topography confinement downwards"" or any concept related to it. It discusses vertical boundaries, valley and crest axes, and the periodicity of topography, but does not establish a relationship with ""existing geomorphology"" being confined downwards.","/ Geomorphology 109 (2009) 86–93 vertical boundaries themselves are set at the valley and the crest axes, which are thus considered as the axes of symmetry: the underlying assumption is, strictly saying, that the topography is periodic and that the model corresponds to its half-wavelength."
grains heterogeneity in flowing mass,flow behavior: elastic,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any relationship between grains heterogeneity in flowing mass and flow behavior: elastic. It discusses the lithologies of MTD beds and their variations but does not relate these to elastic flow behavior.,"individual MTD beds have a variety of lithologies that vary from clay-clast debris flows to chaotic silt beds in mini-basins (Fig. 14; Nelson et al., 1992). In the distal depositional lobes of Mississippi Fan, however, the chaotic silts are dominant, consist of soft clay clasts in a silt matrix, and"
grains heterogeneity in flowing mass,triggering turbidity current,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""grains heterogeneity in flowing mass"" or ""triggering turbidity current."" It discusses the characteristics of clay clasts in different geological deposits but does not establish a relationship between these concepts.","INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS channel walls, because such clay clasts of deep-sea hemipelagic clay are fine-grained clays (> 8 phi), have low organic carbon contents (~ 0.5%), and contain authigenic pyrite. In contrast, clay clasts within chaotic silt have coarser grain s"
triggering cascading MTDs,modifying basin geomorphology,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text discusses gravity, deformation, failure, shear force, and headwall scarps in a specific geological context but does not mention anything related to triggering cascading MTDs or modifying basin geomorphology.","gravity and then deformation or even failure occurs while the shear force exceeds a certain value (Fig. 2). In the head domain area headwall scarps appear as continuous scarps that may comprise one or more salients and are typiﬁed by an arcuate geometry, which can reﬂect extension of Fig. 2 Headwall"
sedimentation rate and type,compaction during burial,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either sedimentation rate and type or compaction during burial. It discusses repetitive cycles reducing soil's shear resistance, earthquake-induced excess pore pressure generation leading to liquefaction, and preconditions to failure, but does not link these concepts","repetitive cycles) can also reduce the soil’s shear resistance in non-cohesive sediments, and an earthquake-induced excess pore pressure generation can result in the liquefaction of sediments (Leynaud et al., 2004; Sultan et al., 2004a). 3.1.2. Preconditions to failure 3.1.2.1. High sedimentation ra"
compaction during burial,posterior fluid migrations,related_to,B_weak_cross_doc,NO_USABLE_PASSAGE,passages dechet/non co-presents,
post deposition regional deformation,subsidence/uplift,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention post-deposition regional deformation or subsidence/uplift. It focuses on the examination of variations in the distribution, source, and size of MTCs in response to growth of the deep-water environment.","relationships and internal characteristics of the deposits are, therefore, well-preserved. The high resolution of the data and its tectonostratigraphic setting, therefore, enable: (i) the examination of variations in the distribution, source and size of the MTCs in response to growth of the deep-wat"
source domain in basin,near structural elements laterally,impacts,C_absent,NO_CHUNK,absent du corpus,
post deposition regional deformation,US ramps or ridges,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention post deposition regional deformation or US ramps or ridges. It discusses seismic reflections and facies types but does not establish any relationship between the specified geological concepts.,section between the early Oligocene WL-U3 to early Miocene WL-U5 seismic reflections; and B) dominantly turbidite channel–levee seismic facies mixed with MTD seismic facies in a strike section in the later deposits above the WL-5 seismic reflection. The white box at the southern edge of the Antarcti
sea level evolution,vertical distribution of MTDs,impacts,A_direct,NOT_SUPPORTED,The provided source text does not mention sea level evolution or the vertical distribution of Mass-Transport Deposits (MTDs). It focuses on the interplay between mass-transport deposits and turbidite-system deposits in deepwater settings.,"39 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS Mass-Transport Deposits in Deepwater Settings SEPM Special Publication No. 96, Copyright © 2011 SEPM (Society for Sedimentary Geology), ISBN 978-1-56576-287-9, p. 39–66. INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS IN DIFFEREN"
source domain in basin,pore pressure increase by compression,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""source domain in basin"" or ""pore pressure increase by compression."" It discusses the flanks of the Amazon fan, decollement levels, and fault systems.","ﬂanks of the Amazon fan, where the Amap�a and Par�a-Maranh~ao megaslides occur, the upper d�ecollement level accommodates proximal normal faults (extensional domain) but without any basinward thrusting system, thus not constituting a typical gravity tectonic nappe composed of upslope extension linke"
permeability increase,local fluidization,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention permeability increase or local fluidization. It discusses the behavior of sand under pressure, detachments resembling shear bands, and compressional belts in shale-detached fold belts.","it approaches the behavior of overpressured shale. For moderate to high pressures, sand has a frictional behavior. Detachments looked like very ﬁne shear bands and compressional belts are dominated by asymmetric basinward-verging thrusts as it is often observed in shale-detached fold belts. For ﬂuid"
seismicity or waves,permeability increase,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention seismicity, waves, permeability, or any related concepts.","tion to the headwall (proximal erosive), transla- tional (intermediate), and toe (distal) parts of MTDs. This is an important character, as strata within specific zones of MTDs can show similar deformation styles, basal erosional features, and boundary features regardless of their size or litho- log"
existing geomorphology,lateral erosive walls,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
sea level evolution,seismicity or waves,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention sea level evolution or waves. It discusses submarine fans, deep-sea channels, canyon mouths, plunge pools, and sediment waves formed by turbidity currents.","These systems include submarine fans, deep- sea channels, and some canyon mouths that contain plunge pools with downstream sediment waves, formed by turbidity currents (Fig."
seismicity,initial potential energy of mass,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention seismicity or the initial potential energy of mass. It discusses submarine slope failures in relation to glacial and interglacial conditions.,"and soil properties. Additionally, on low latitudes, submarine slope failures mainly occurred during glacial conditions with low sea level, whereas on high latitudes, they occur during the relatively fast transition from glacial to interglacial conditions (i.e. during periods of sea level rise). The"
flow velocity and energy,flow behavior: elastic,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow velocity and energy"" or ""flow behavior: elastic.""","C.K., WALLACE, P., AND THE ODP LEG 164 SCIENTIFIC PARTY, 1997, Direct measurements of in situ methane quantities in a large gas-hydrate reservoir: Nature, v. 389, p. 426–428. DONDA, F., BRANCOLINI, G., O´BRIEN, P., DE SANTIS, L., AND ESCUTIA, C., 2007, Sedimentary processes in the Wilkes Land margin"
source domain in basin,sedimentation rate and type,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either the ""source domain in basin"" or any details about ""sedimentation rate and type."" The text focuses on mass-transport complexes and their role in the evolution of a deep-water fold-and-thrust belt.","Mass-transport complexes asmarkers of deep- water fold-and-thrust belt evolution: insights from the southern Magdalena fan, offshore Colombia Andrea Ortiz-Karpf,* David M. Hodgson,* Christopher A.-L. Jackson† and William D. McCaffrey* *School of Earth and Environment, University of Leeds, Leeds, UK "
local fluidization,flow behavior: elastic,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention either ""local fluidization"" or ""flow behavior: elastic."" It discusses textural parameters in the context of MTDs (most likely referring to Matrix-Displacement Tracers) and their internal variability.","image volume. In the specific case of MTDs, their internal variability can be specifically quantified by three distinct textural parameters: contrast, directional- ity, and energy. Contrast (C) indicates the relative degree of heterogeneity and disaggregation of strata, parameters that are useful to"
chemical effects,local fluidization,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""chemical effects"" or ""local fluidization."" It discusses MTD sheets, mini-basins, and the deposition of sediments during sea-level rise.","MTD sheets in the downstream mini-basins. In contrast, the autochthonous MTD sheets and wedges, which are derived from local muddy basin walls to be deposited after sediment loading and during sea-level rise, tend to lack significant sandy facies. However, such local muddy sheets may serve as seals "
initial aspect ratio and top of mass slope angle,gravity,related_to,A_direct,NOT_SUPPORTED,"The provided source text does not mention the initial aspect ratio, top of mass slope angle, or gravity in relation to each other.","Numerical modelling of the gravity-induced destabilization of a slope: The example of the La Clapière landslide, southern France A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric Geosciences Azur, Université de Nice Sophia-Antipolis and CNRS, Valbonne, France a b s t r a c t a r t i c l e i n f o Artic"
offshore events and waves,initial potential energy of mass,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention offshore events and waves or any form of initial potential energy of mass. It discusses sea plate, mass-transport deposits, seismic texture, and related geological concepts.","Sea plate. 796 Mass-Transport Deposits and Seismic Texture article, we discuss (1) expected CDE values for specific regions of MTDs, and (2) seal compe- tence and reservoir potential as a function of CDE distribution. DATA AND METHODS This work used 3-D seismic data covering 672 km2 (259 mi2) of the"
sedimentation rate and type,basin depocenter position,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention either sedimentation rate and type or basin depocenter position. There is no information provided that links these two concepts.,"during a period of relative sea level rise. MTC_1, the intermediate age MTC, is the largest one, with an area of 90 km2. It has a 10 km wide cookie-bite headwall region that indents the upper slope and, in places, reaches the continental shelf-break. MTC_1 is made up of four laterally and vertically"
sedimentation rate and type,subsidence/uplift,related_to,A_direct,NOT_SUPPORTED,The source text does not mention any relationship between sedimentation rate and type and subsidence or uplift. It discusses various triggers and destabilization processes but does not link these directly to sedimentation rate and type.,"Among the potential triggers and destabilization processes, the most relevant are high sedimentation rates, climatically-controlled alternations in sedi- mentation, gas hydrate dissociation in the sediment’s pore space, diapirism, uplift and earthquakes, which would all lead to excess pore pressure "
sea level evolution,sedimentation rate and type,impacts,A_direct,NOT_SUPPORTED,The source text does not mention sea level evolution or sedimentation rate and type in relation to each other. It discusses the age of slumps and channels but does not provide any information that links these concepts to sea level evolution or sedimentation rate and type.,"al., 2000; C. Goldfinger, written communication, 2008), which oc- curred approximately 11,000 yr BP (e.g., Baker and Bunker, 1985). A similar age for the 44 N slump (~ 11,600 yr BP) also is suggested, because the 44 N slump blocks the Astoria Channel. Downdip, this channel contains the latest Pleist"
local thickening of flowing material,thickness variation,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention ""local thickening of flowing material"" or ""thickness variation."" It discusses the realignment of maximum compressive stress and its effect on displacement rates across the MTC toe, as well as the development of pressure ridges.","due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance"
